kind	doc	page	words	squashed	srcBytes	outBytes	images	jbig2Images
jbig2-source	testdocs/journalArticle/Wells_2015_A Long View of Shareholder Power.pdf				2326271	3366910	68	66
jbig2-source	testdocs/magazineArticle/Lemann, Nicholas_1977_Success In America_Washington Monthly.pdf				676009	670929	5	5
jbig2-source	testdocs/report/1957_Allied Chemical & Dye Corporation Annual Report -- 1957.pdf				2629442	1590104	119	116
jbig2-source	testdocs/report/1958_CiT Financial Corporation Annual Report -- 1958.pdf				1911340	1431335	55	55
jbig2-source	testdocs/report/1958_E.pdf				1545684	1187508	66	63
jbig2-source	testdocs/report/1958_General Foods Corporation Annual Report -- 1958.pdf				1866282	1224253	63	63
jbig2-source	testdocs/report/1958_The Anaconda Company Annual Report -- 1958.pdf				1859238	1358070	64	60
jbig2-source	testdocs/report/1958_The Goodyear Tire & Rubber Company Annual Report -- 1958.pdf				5196058	3522172	119	119
jbig2-source	testdocs/report/_1961_Fairchild Camera and Instrument Corporation Annual Report -- 1961_ProQuest Annual Reports.pdf				2798128	2232536	126	123
jbig2-source	testdocs/report/_1963_Fairchild Camera and Instrument Corporation Annual Report -- 1963_ProQuest Annual Reports.pdf				2287987	2493423	60	57
jbig2-source	testdocs/report/_1966_Fairchild Camera and Instrument Corporation Annual Report -- 1966_ProQuest Annual Reports.pdf				3738207	2382415	104	104
jbig2-source	testdocs/report/_1967_Fairchild Camera and Instrument Corporation Annual Report -- 1967_ProQuest Annual Reports.pdf				1416210	960466	40	37
jbig2-source	testdocs/report/w7787 2.pdf				316460	653122	30	30
jbig2-source	testdocs/report/w7787.pdf				316460	653122	30	30
jbig2-source	testdocs/thesis/Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm.pdf				11179569	14990832	403	403
jbig2-source	testdocs/thesis/Clark_The graphic rating scale at Northwestern University.pdf				4963094	4951247	110	110
jbig2-source	testdocs/thesis/Cooley - 2008 - Moving up, moving out Race and social mobility in Chicago, 1914–1972.pdf				5427963	12503968	375	375
jbig2-source	testdocs/thesis/Corson_Current practices in student guidance and personnel administration in liberal.pdf				11700139	12108337	234	234
jbig2-source	testdocs/thesis/Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II.pdf				10980323	11901590	240	240
jbig2-source	testdocs/thesis/Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po.pdf				15173824	20761540	484	484
jbig2-source	testdocs/thesis/Koh - 2008 - Essays on stock options expensing and stock option.pdf				2414097	5523464	189	189
jbig2-source	testdocs/thesis/Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967.pdf				7376682	9824158	261	261
