file	page	qualifying_gutters	widest_interior_quiet_frac	widthPx	heightPx	widestPx	widestSpan	otsu	peakInk	gutterSpans
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	187	0	0.0000	1050	1383	0	-	144	845	-
Mudge_2018_Leftism Reinvented_Harvard University Press.pdf	372	0	0.0000	975	1311	0	-	157	400	-
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	2	0	0.0145	1650	1275	24	928-952	153	747	-
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	4	1	0.0527	1650	1275	87	758-845	149	919	758-845
Nedelsky_1990_Private property and the limits of American constitutionalism_University of Chicago Press.pdf	7	2	0.0945	1650	1275	156	877-1033	151	824	743-826,877-1033
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	2	0	0.0000	1059	1366	0	-	168	918	-
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	74	0	0.0281	1461	1931	41	1034-1075	148	493	-
New York Stock Exchange_1956_Stock ownership plans for employees.pdf	146	2	0.0857	1330	1760	114	876-990	150	381	174-257,876-990
Noble_1977_America by design.pdf	208	0	0.0000	921	1455	0	-	135	459	-
Noble_1977_America by design.pdf	414	0	0.0000	921	1455	0	-	137	129	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	2	0	0.0000	968	1296	0	-	107	890	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	13	0	0.0000	731	972	0	-	106	256	-
Riesman - 1954 - Individualism reconsidered, and other essays.pdf	25	0	0.0000	716	950	0	-	115	305	-
Schumpeter_1955_Imperialism ; Social classes_World.pdf	2	0	0.0027	740	1169	2	214-216	151	193	-
Schumpeter_1955_Imperialism ; Social classes_World.pdf	96	0	0.0000	740	1169	0	-	159	385	-
Schumpeter_1955_Imperialism ; Social classes_World.pdf	191	0	0.0000	900	1350	0	-	112	1350	-
Shows and Burton - 1972 - Microeconomics.pdf	2	0	0.0161	934	1320	15	121-136	142	223	-
Shows and Burton - 1972 - Microeconomics.pdf	10	0	0.0000	918	1346	0	-	142	1333	-
Shows and Burton - 1972 - Microeconomics.pdf	18	0	0.0251	916	1342	23	760-783	135	1342	-
UN-OCred.pdf	2	1	0.1421	1506	1054	214	616-830	144	807	616-830
UN-OCred.pdf	21	0	0.0015	1340	1106	2	706-708	148	1040	-
UN-OCred.pdf	40	0	0.0068	1333	1114	9	676-685	153	781	-
Westad_2005_The Global Cold War_Cambridge University Press.pdf	1	0	0.0000	1240	1829	0	-	161	367	-
Westad_2005_The Global Cold War_Cambridge University Press.pdf	2	0	0.0021	975	1559	2	497-499	154	312	-
Westad_2005_The Global Cold War_Cambridge University Press.pdf	3	0	0.0021	975	1559	2	474-476	154	357	-
_2010_New Materialisms_Duke University Press.pdf	2	0	0.0000	994	883	0	-	166	213	-
_2010_New Materialisms_Duke University Press.pdf	12	0	0.0000	1650	1271	0	-	152	442	-
_2010_New Materialisms_Duke University Press.pdf	22	0	0.0000	1650	1271	0	-	143	1213	-
Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	2	0	0.0000	1288	1710	0	-	143	1284	-
Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	15	0	0.0000	885	1396	0	-	153	275	-
Allen_2011_The Origins of Political Philosophy_Oxford University Press.pdf	29	0	0.0068	885	1396	6	586-592	150	195	-
Berger_2013_Toward a Third Industrial Divide_.pdf	2	0	0.0000	996	1346	0	-	160	1030	-
Berger_2013_Toward a Third Industrial Divide_.pdf	13	0	0.0000	1031	1346	0	-	168	1276	-
Berger_2013_Toward a Third Industrial Divide_.pdf	24	1	0.0640	1094	1348	70	201-271	166	1330	201-271
Broadhead - 1994 - Regionalism and the Upper Class.pdf	2	0	0.0000	1708	1375	0	-	164	792	-
Broadhead - 1994 - Regionalism and the Upper Class.pdf	7	0	0.0000	1708	1375	0	-	165	885	-
Broadhead - 1994 - Regionalism and the Upper Class.pdf	13	0	0.0000	1708	1375	0	-	161	401	-
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	2	0	0.0000	728	1122	0	-	161	281	-
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	13	0	0.0110	728	1122	8	563-571	161	296	-
Canby_1915_Current Literature and the Colleges_Harper & Brothers.pdf	25	0	0.0082	728	1122	6	565-571	160	131	-
Canby_1929_Comment on Several Subjects.pdf	2	1	0.1208	1275	1650	154	469-623	149	275	469-623
Canby_1929_Comment on Several Subjects.pdf	3	0	0.0298	1275	1650	38	690-728	149	197	-
Canby_1929_Comment on Several Subjects.pdf	4	1	0.0392	1275	1650	50	589-639	148	220	589-639
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	2	0	0.0000	1309	928	0	-	134	519	-
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	15	0	0.0000	934	1354	0	-	157	258	-
Falasca-Zamponi_2004_The »Culture« of Personality.pdf	29	0	0.0000	948	1354	0	-	164	133	-
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	2	0	0.0000	1281	1720	0	-	163	277	-
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	32	1	0.0504	933	1334	47	126-173	179	302	126-173
Findlay_1992_Stanford Industrial Park_University of California Press.pdf	62	1	0.1492	1126	1338	168	151-319	175	1329	151-319
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	2	0	0.0023	1298	826	3	532-535	142	782	-
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	14	0	0.0000	821	1272	0	-	181	260	-
Geiger et al_2018_American higher education in the postwar era, 1945-1970.pdf	26	0	0.0123	812	1248	10	129-139	180	95	-
Gilroy - 2000 - Getting In.pdf	2	0	0.0000	805	1265	0	-	127	939	-
Gilroy - 2000 - Getting In.pdf	12	0	0.0000	818	1289	0	-	150	281	-
Gilroy - 2000 - Getting In.pdf	22	0	0.0000	823	1276	0	-	133	932	-
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	2	2	0.0579	1279	1652	74	667-741	164	974	572-630,667-741
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	4	2	0.0699	1274	1649	89	665-754	161	934	577-632,665-754
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	6	2	0.0742	1281	1656	95	661-756	160	954	567-628,661-756
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	2	0	0.0014	729	1135	1	624-625	156	254	-
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	163	0	0.0000	730	1135	0	-	147	359	-
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	324	1	0.0411	730	1135	30	352-382	151	386	352-382
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	2	0	0.0292	1265	1642	37	625-662	148	310	-
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	8	0	0.0285	1792	1344	51	829-880	151	1034	-
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	15	2	0.6010	1792	1344	1077	488-1565	149	12	421-484,488-1565
Kazin_1955_The Writer and the .pdf	2	0	0.0031	1275	1650	4	390-394	134	120	-
Kazin_1955_The Writer and the .pdf	9	0	0.0008	1275	1650	1	1115-1116	135	503	-
Kazin_1955_The Writer and the .pdf	16	0	0.0110	1275	1650	14	1105-1119	137	132	-
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	2	0	0.0039	760	1210	3	662-665	154	327	-
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	21	0	0.0000	760	1210	0	-	181	313	-
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	40	0	0.0000	760	1210	0	-	191	221	-
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	2	1	0.0848	1651	1275	140	800-940	128	1204	800-940
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	15	0	0.0084	1674	1303	14	723-737	149	1165	-
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	29	0	0.0036	1677	1308	6	408-414	148	1066	-
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	2	0	0.0000	1203	1538	0	-	152	186	-
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	12	0	0.0000	788	1305	0	-	154	310	-
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	23	0	0.0000	810	1325	0	-	172	205	-
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	2	0	0.0206	1650	1275	34	879-913	157	927	-
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	6	0	0.0285	1650	1275	47	868-915	154	962	-
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	10	0	0.0188	1650	1275	31	797-828	156	880	-
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	2	0	0.0008	1275	1650	1	1084-1085	146	276	-
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	12	0	0.0031	1275	1650	4	216-220	145	323	-
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	23	0	0.0118	1275	1650	15	977-992	139	194	-
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	2	0	0.0000	687	1292	0	-	140	208	-
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	16	0	0.0000	739	1239	0	-	161	273	-
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	31	0	0.0058	856	1274	5	129-134	156	256	-
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	2	0	0.0000	1167	1574	0	-	147	229	-
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	13	0	0.0000	734	1283	0	-	161	263	-
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	25	0	0.0043	692	1254	3	601-604	157	121	-
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	2	0	0.0000	1256	1658	0	-	136	316	-
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	33	0	0.0104	1252	1652	13	283-296	140	476	-
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	65	0	0.0196	1275	1667	25	643-668	148	170	-
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	2	0	0.0000	764	1228	0	-	156	267	-
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	19	0	0.0000	823	1256	0	-	152	321	-
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	37	0	0.0000	805	1235	0	-	152	328	-
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	2	0	0.0141	1275	1650	18	1040-1058	137	195	-
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	8	0	0.0298	1275	1650	38	575-613	163	454	-
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	15	1	0.0533	1275	1650	68	560-628	167	723	560-628
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	2	0	0.0000	679	986	0	-	146	974	-
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	21	0	0.0000	889	1341	0	-	147	745	-
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	40	0	0.0000	961	1337	0	-	142	1337	-
Schaar, handwritten notes.pdf	2	0	0.0000	1691	1328	0	-	163	965	-
Schaar, handwritten notes.pdf	6	0	0.0000	1936	1421	0	-	164	429	-
Schaar, handwritten notes.pdf	11	0	0.0000	1656	1278	0	-	160	1276	-
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	2	0	0.0000	707	913	0	-	149	912	-
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	29	0	0.0000	714	1116	0	-	157	358	-
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	56	0	0.0013	800	1132	1	462-463	166	70	-
_1945_Postwar Economic Policy and Planning_.pdf	2	0	0.0000	1293	2112	0	-	142	159	-
_1945_Postwar Economic Policy and Planning_.pdf	76	0	0.0000	1304	2119	0	-	138	612	-
_1945_Postwar Economic Policy and Planning_.pdf	150	0	0.0000	1298	2116	0	-	145	404	-
full chapter.pdf	2	1	0.0455	1275	1650	58	939-997	139	427	939-997
full chapter.pdf	17	0	0.0008	1275	1650	1	254-255	144	539	-
full chapter.pdf	32	1	0.0580	1275	1650	74	936-1010	149	750	936-1010
(F) Dickens.pdf	2	0	0.0000	1275	1642	0	-	138	341	-
(F) Dickens.pdf	5	0	0.0000	1274	1641	0	-	143	325	-
(F) Dickens.pdf	8	0	0.0016	1274	1640	2	1057-1059	147	138	-
1881 - Harry Wilcox.pdf	2	0	0.0000	1845	1241	0	-	121	1241	-
1881 - Harry Wilcox.pdf	5	0	0.0000	1918	1241	0	-	132	1231	-
1881 - Harry Wilcox.pdf	9	0	0.0000	1978	1241	0	-	121	1173	-
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	2	0	0.0000	6144	7204	0	-	129	7204	-
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	5	0	0.0000	6300	6788	0	-	131	6787	-
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	9	0	0.0000	6229	7213	0	-	127	7212	-
2008_Hoagland oral history.pdf	2	0	0.0000	1275	1650	0	-	147	312	-
2008_Hoagland oral history.pdf	8	0	0.0000	1275	1650	0	-	148	328	-
2008_Hoagland oral history.pdf	15	0	0.0000	1275	1650	0	-	147	380	-
2008_McIntyre oral history.pdf	2	0	0.0024	1275	1650	3	1073-1076	147	270	-
2008_McIntyre oral history.pdf	10	0	0.0000	1275	1650	0	-	148	338	-
2008_McIntyre oral history.pdf	18	0	0.0000	1275	1650	0	-	149	244	-
2013 - Silicon Valley Program Transcript.pdf	2	0	0.0000	1275	1650	0	-	167	365	-
2013 - Silicon Valley Program Transcript.pdf	20	0	0.0000	1275	1650	0	-	167	379	-
2013 - Silicon Valley Program Transcript.pdf	38	0	0.0000	1275	1650	0	-	169	175	-
2015_Gibbs oral history.pdf	2	0	0.0000	1275	1650	0	-	143	7	-
2015_Gibbs oral history.pdf	36	0	0.0157	1275	1650	20	317-337	159	240	-
2015_Gibbs oral history.pdf	71	0	0.0024	1275	1650	3	1059-1062	160	94	-
2017_Bunnell oral history, athletics.pdf	2	0	0.0000	1275	1650	0	-	159	8	-
2017_Bunnell oral history, athletics.pdf	35	0	0.0133	1275	1650	17	328-345	158	185	-
2017_Bunnell oral history, athletics.pdf	69	0	0.0016	1275	1650	2	1075-1077	160	118	-
2024 - Class Action lawsuit re need blind admissions.pdf	2	0	0.0000	1275	1650	0	-	154	230	-
2024 - Class Action lawsuit re need blind admissions.pdf	38	0	0.0000	1275	1650	0	-	156	206	-
2024 - Class Action lawsuit re need blind admissions.pdf	75	0	0.0000	1275	1650	0	-	162	140	-
Atkinson_1939_Atkinson on firings_.pdf	1	0	0.0017	4031	5400	7	3463-3470	110	1040	-
Atkinson_1939_Atkinson on firings_.pdf	2	0	0.0000	4031	5400	0	-	120	1230	-
Atkinson_1939_Atkinson on firings_.pdf	3	0	0.0000	4031	5400	0	-	132	1299	-
Ford_1941_Speech_.pdf	2	0	0.0136	4031	5400	55	3449-3504	123	5363	-
Ford_1941_Speech_.pdf	4	0	0.0027	4031	5400	11	3496-3507	119	2091	-
Ford_1941_Speech_.pdf	6	0	0.0015	4031	5400	6	3467-3473	123	5400	-
Freud_Fetishism.pdf	2	2	0.1028	1488	1210	153	569-722	148	167	569-722,764-818
Freud_Fetishism.pdf	4	0	0.0326	1471	1197	48	758-806	159	430	-
Freud_Fetishism.pdf	7	0	0.0286	1502	1201	43	769-812	162	294	-
Galison_1998_Trading Zone_.pdf	2	0	0.0000	2150	1517	0	-	159	1517	-
Galison_1998_Trading Zone_.pdf	8	0	0.0000	2150	1517	0	-	167	1516	-
Galison_1998_Trading Zone_.pdf	14	0	0.0000	2150	1517	0	-	167	1516	-
Geiger oral history.pdf	2	0	0.0000	1275	1650	0	-	147	6	-
Geiger oral history.pdf	50	0	0.0157	1275	1650	20	318-338	159	234	-
Geiger oral history.pdf	99	0	0.0024	1275	1650	3	1063-1066	158	68	-
Henry Morgenthau papers.pdf	2	2	0.0541	1275	1650	69	677-746	143	330	176-221,677-746
Henry Morgenthau papers.pdf	101	3	0.1255	1275	1650	160	954-1114	145	256	248-308,721-798,954-1114
Henry Morgenthau papers.pdf	201	0	0.0047	1275	1650	6	1076-1082	146	183	-
Herbert Marks papers.pdf	2	1	0.0729	1275	1650	93	199-292	211	63	199-292
Herbert Marks papers.pdf	8	0	0.0047	1275	1650	6	182-188	210	403	-
Herbert Marks papers.pdf	15	0	0.0102	1275	1650	13	246-259	192	284	-
Intellectual History Newsletter -- Forum on Menand.pdf	2	0	0.0089	1232	1563	11	922-933	136	1315	-
Intellectual History Newsletter -- Forum on Menand.pdf	23	0	0.0000	1107	1498	0	-	142	272	-
Intellectual History Newsletter -- Forum on Menand.pdf	45	0	0.0000	1107	1498	0	-	140	684	-
Lyons oral history.pdf	2	0	0.0000	1275	1650	0	-	159	8	-
Lyons oral history.pdf	58	0	0.0008	1275	1650	1	1067-1068	165	202	-
Lyons oral history.pdf	114	0	0.0039	1275	1650	5	812-817	167	400	-
Nogales oral history.pdf	2	0	0.0000	1275	1650	0	-	159	8	-
Nogales oral history.pdf	24	0	0.0000	1275	1650	0	-	165	309	-
Nogales oral history.pdf	46	1	0.0604	1275	1650	77	552-629	164	39	552-629
October_2,_1960_(Page_24_of_25.pdf	1	0	0.0066	2257	3954	15	1131-1146	142	3921	-
RIESMAN_1942_American Law Institute Proceedings_.pdf	2	0	0.0224	1293	1664	29	887-916	148	1585	-
RIESMAN_1942_American Law Institute Proceedings_.pdf	6	0	0.0000	1314	1679	0	-	165	1474	-
RIESMAN_1942_American Law Institute Proceedings_.pdf	10	0	0.0000	1282	1655	0	-	168	1527	-
Riesman_1964_From inner-directed to other- directed_.pdf	2	0	0.0000	760	1309	0	-	144	172	-
Riesman_1964_From inner-directed to other- directed_.pdf	10	0	0.0000	741	1300	0	-	148	416	-
Riesman_1964_From inner-directed to other- directed_.pdf	18	0	0.0000	740	1300	0	-	145	293	-
Riesman_1964_The New Education_.pdf	2	0	0.0000	1186	1511	0	-	149	211	-
Riesman_1964_The New Education_.pdf	7	0	0.0000	726	1198	0	-	160	279	-
Riesman_1964_The New Education_.pdf	12	0	0.0199	704	1066	14	533-547	151	215	-
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	2	0	0.0000	1189	1517	0	-	152	220	-
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	16	0	0.0000	706	1092	0	-	158	269	-
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	30	1	0.0837	717	409	60	91-151	154	82	91-151
Senate, Democratic Leadership.pdf	2	0	0.0000	1275	1650	0	-	141	276	-
Senate, Democratic Leadership.pdf	14	0	0.0024	1275	1650	3	298-301	142	402	-
Senate, Democratic Leadership.pdf	27	0	0.0000	1275	1650	0	-	143	135	-
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	2	0	0.0000	969	1419	0	-	182	175	-
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	3	0	0.0010	992	1441	1	402-403	178	238	-
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	4	0	0.0000	993	1438	0	-	175	182	-
Stiglitz1975(onPasinetti1974).pdf	1	0	0.0000	1240	1754	0	-	151	239	-
Stiglitz1975(onPasinetti1974).pdf	2	0	0.0093	1075	1500	10	521-531	149	325	-
Stiglitz1975(onPasinetti1974).pdf	3	0	0.0028	1075	1500	3	526-529	148	397	-
_1939_Former students to Board re Merriam_.pdf	2	0	0.0000	4031	5400	0	-	112	1672	-
_1939_Former students to Board re Merriam_.pdf	10	0	0.0000	4031	5400	0	-	157	2994	-
_1939_Former students to Board re Merriam_.pdf	18	0	0.0000	4031	5400	0	-	127	1425	-
_1953_99 Cong_ 2.pdf	2	0	0.0050	1407	1658	7	848-855	157	621	-
_1953_99 Cong_ 2.pdf	16	0	0.0021	1407	1658	3	855-858	154	520	-
_1953_99 Cong_ 2.pdf	31	0	0.0043	1407	1658	6	862-868	153	652	-
_1953_99 Cong_.pdf	2	0	0.0007	1444	1652	1	565-566	152	520	-
_1953_99 Cong_.pdf	17	0	0.0035	1444	1652	5	558-563	157	621	-
_1953_99 Cong_.pdf	32	0	0.0014	1444	1652	2	560-562	155	531	-
_1953_Conspicuous Production_.pdf	1	0	0.0031	1309	1678	4	686-690	136	1308	-
_1953_Conspicuous Production_.pdf	2	0	0.0000	1339	1689	0	-	167	454	-
_1953_Conspicuous Production_.pdf	3	0	0.0000	1289	1659	0	-	165	454	-
_1960_Organization and operation of the Small Business Administration_.pdf	2	0	0.0010	975	1538	1	828-829	150	155	-
_1960_Organization and operation of the Small Business Administration_.pdf	37	0	0.0000	975	1538	0	-	141	471	-
