document	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	verdict	sweepInkOut	label	kind	sample
# C28 question 3, out of sample: the shape term over ALL 73 sub-bar pages, 2026-08-21.
# population = INKBAR-2026-08-19.tsv rows with verdict=all-text AND barVerdict=all-text (73).
# label/kind are the published verdicts of C26 sub-step 4 and C28 sub-steps 1-4; nothing here re-reads them.
# sample: calibration = one of the 8 pages the five constants were written against; new = never measured before.
# binary built from Tools/score-shape-term.swift at 5be15c3; --self-test 5/5; constants unchanged.
document/Herbert Marks papers.pdf	p11	1700	2200	213	88758	1314	0.0148	0.0148	0.4765	0.0393	2125	5	2	38	19	732	0.5571	1	423	0.3219	134x14+627+479	ok	0.0148	loses	type	new
document/Herbert Marks papers.pdf	p12	1700	2200	213	106972	437	0.0041	0.0041	0.4701	0.0339	2752	5	2	21	13	422	0.9657	2	386	0.8833	72x10+606+911	ok	0.0041	nothing	-	new
document/Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	p5	1414	2163	147	423570	0	0.0000	0.0000	0.0000	0.0000	2142	21	6	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p1	1192	1746	175	84258	97	0.0012	0.0012	0.1377	0.0034	2049	12	2	16	1	22	0.2268	0	0	0.0000	-	ok	0.0012	nothing	-	new
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p2	969	1419	182	63630	30	0.0005	0.0005	0.1542	0.0035	1855	10	2	9	0	0	0.0000	0	0	0.0000	-	ok	0.0005	nothing	-	new
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p3	992	1441	179	66227	687	0.0104	0.0104	0.1482	0.0120	1887	10	2	13	0	0	0.0000	0	0	0.0000	-	ok	0.0104	nothing	-	new
document/Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	p4	993	1438	169	59272	5	0.0001	0.0001	0.1068	0.0009	1795	10	2	2	0	0	0.0000	0	0	0.0000	-	ok	0.0001	nothing	-	new
document/_1939_Former students to Board re Merriam_.pdf	p2	1935	2592	111	365245	0	0.0000	0.0000	0.0592	0.0014	783	31	6	0	0	0	-	0	0	-	-	ok	0.0000	loses	hand	new
document/_1939_Former students to Board re Merriam_.pdf	p3	1935	2592	126	350593	0	0.0000	0.0000	0.0873	0.0022	627	34	7	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
document/_1939_Former students to Board re Merriam_.pdf	p6	1935	2592	118	375072	2602	0.0069	0.0069	0.2266	0.0068	1578	21	4	32	8	2302	0.8847	1	2259	0.8682	472x53+951+2216	ok	0.0069	loses	hand	new
