file	page	qualifying_gutters	widest_interior_quiet_frac	widthPx	heightPx	widestPx	widestSpan	otsu	peakInk	gutterSpans
Gilroy - 2000 - Getting In.pdf	5	0	0.0000	809	1327	0	-	142	307	-
Gilroy - 2000 - Getting In.pdf	11	0	0.0000	834	1290	0	-	147	1266	-
Gilroy - 2000 - Getting In.pdf	16	0	0.0000	841	1314	0	-	149	312	-
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	1	0	0.0000	1278	1652	0	-	156	242	-
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	3	2	0.0612	1275	1650	78	669-747	155	989	566-619,669-747
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America.pdf	4	2	0.0699	1274	1649	89	665-754	161	934	577-632,665-754
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	81	0	0.0000	729	1135	0	-	151	351	-
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	162	0	0.0000	730	1135	0	-	147	309	-
Hobsbawm and Ranger - 1992 - The Invention of tradition.pdf	243	0	0.0000	729	1135	0	-	152	275	-
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	3	1	0.0430	1744	1344	75	902-977	148	368	902-977
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	7	0	0.0240	1792	1344	43	956-999	150	942	-
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press.pdf	11	0	0.0257	1792	1344	46	835-881	150	1344	-
Kazin_1955_The Writer and the .pdf	4	0	0.0259	1275	1650	33	975-1008	136	323	-
Kazin_1955_The Writer and the .pdf	8	0	0.0000	1275	1650	0	-	135	429	-
Kazin_1955_The Writer and the .pdf	12	0	0.0016	1275	1650	2	1116-1118	135	422	-
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	10	0	0.0000	760	1210	0	-	176	365	-
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	20	0	0.0000	760	1210	0	-	177	328	-
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	30	0	0.0000	760	1210	0	-	174	328	-
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	7	0	0.0229	1663	1291	38	726-764	133	918	-
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	14	0	0.0174	1668	1296	29	729-758	152	1020	-
Kristol_1962_SOCIAL SCIENCES AND LAW_.pdf	21	0	0.0211	1660	1284	35	720-755	147	1242	-
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	5	0	0.0000	612	1015	0	-	169	180	-
