# C28's two-sided grouping trade: the shape term's `lineMinimumMembers` and `lineGapFactor`
# relaxed, measured beside the shipped pair on the entry's own named population. 2026-09-20.
# binary built from Tools/score-shape-term.swift in this commit; --self-test ok (11 checks).
# GROUPING=4:3,3:3,2:3,4:6,2:6 — five arms; 4:3 IS the shipped pair and is the determinism
# control (lineN_g4x3 must equal lineN on every row; it does, 75 of 75).
# population = the 73 sub-bar pages of SHAPETERM-73-2026-08-21.tsv (document+page taken from
# that file, nothing re-sampled) PLUS book/1954 - Why.pdf p6 and p7, C26's two founding
# cartoons, which are picture-route and so are NOT among the 73.
# label/kind below are SHAPETERM-73's own published verdicts, joined by (document, page);
# nothing here re-reads a page. The two cartoons carry `cartoon`/`cartoon`.
# ⛔ The port check ran ARMED on every row of every arm — the two constants are DEFAULT
# ARGUMENTS of `lines(…)`, so the call the port check compares is unchanged: port agreed on
# 75 of 75, 0 disagreements, rc=0 on 23 of 23 invocations.
# ⚠️ Columns 2-43 are the tool's own 42 and are a byte-identical prefix of every earlier
# SHAPETERM-*.tsv; 44-53 are the five arms; document/label/kind are prepended/appended here.
document	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	rim1N	rim1Px	rim1Top	rim2N	rim2Px	rim2Top	rim3N	rim3Px	rim3Top	verdict	wideN	wideInkOut	stenPx	wideStenPx	shipSten	wideSten	shipBytes	wideBytes	byteDelta	shipBg	wideBg	lineN_g4x3	linePx_g4x3	lineN_g3x3	linePx_g3x3	lineN_g2x3	linePx_g2x3	lineN_g4x6	linePx_g4x6	lineN_g2x6	linePx_g2x6	label	kind
document/_1939_Former students to Board re Merriam_.pdf	p2	1935	2592	111	365245	0	0.0000	0.0000	0.0592	0.0014	783	31	6	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	loses	hand
document/_1939_Former students to Board re Merriam_.pdf	p3	1935	2592	126	350593	0	0.0000	0.0000	0.0873	0.0022	627	34	7	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/_1939_Former students to Board re Merriam_.pdf	p6	1935	2592	118	375072	2602	0.0069	0.0069	0.2266	0.0068	1578	21	4	32	8	2302	0.8847	1	2259	0.8682	472x53+951+2216	1	2216	472x52+951+2216	1	2174	472x51+951+2216	1	2121	472x50+951+2216	ok	-	-	-	-	-	-	-	-	-	-	-	1	2259	1	2259	1	2259	1	2259	1	2259	loses	hand
document/_1939_Former students to Board re Merriam_.pdf	p7	1935	2592	137	357235	39	0.0001	0.0001	0.3603	0.0018	1845	17	4	23	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/_1939_Former students to Board re Merriam_.pdf	p9	1935	2592	126	292516	381	0.0013	0.0013	0.4121	0.0037	3176	10	3	52	7	316	0.8294	1	303	0.7953	140x12+1456+1165	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	1	303	1	303	1	303	1	303	1	303	nothing	-
document/_1939_Former students to Board re Merriam_.pdf	p14	1935	2592	128	411692	18	0.0000	0.0000	0.0997	0.0001	2078	18	5	5	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/_1939_Former students to Board re Merriam_.pdf	p16	1935	2592	125	404834	3	0.0000	0.0000	0.0830	0.0000	2007	19	5	2	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Herbert Marks papers.pdf	p11	1700	2200	213	88758	1314	0.0148	0.0148	0.4765	0.0393	2125	5	2	38	19	732	0.5571	1	423	0.3219	134x14+627+479	1	377	134x12+627+480	2	311	52x10+627+481	1	114	43x8+627+482	ok	-	-	-	-	-	-	-	-	-	-	-	1	423	2	516	4	698	2	698	2	698	loses	type
document/Herbert Marks papers.pdf	p12	1700	2200	213	106972	437	0.0041	0.0041	0.4701	0.0339	2752	5	2	21	13	422	0.9657	2	386	0.8833	72x10+606+911	1	145	72x8+606+912	1	94	65x6+606+913	1	64	65x4+606+914	ok	-	-	-	-	-	-	-	-	-	-	-	2	386	2	386	2	386	1	386	1	386	nothing	-
document/Ford_1941_Speech_.pdf	p1	1935	2592	133	278430	1422	0.0051	0.0051	0.1836	0.0068	1823	17	4	80	9	502	0.3530	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	1	86	1	86	0	0	1	86	loses	hand
document/Ford_1941_Speech_.pdf	p2	1935	2592	122	276946	629	0.0023	0.0023	0.1170	0.0022	1812	18	4	28	7	514	0.8172	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	1	194	0	0	1	194	nothing	-
document/Ford_1941_Speech_.pdf	p3	1935	2592	116	249860	2677	0.0107	0.0107	0.0749	0.0105	1650	18	4	48	8	561	0.2096	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Ford_1941_Speech_.pdf	p4	1935	2592	116	253013	167	0.0007	0.0007	0.0623	0.0007	1642	18	4	13	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Ford_1941_Speech_.pdf	p5	1935	2592	126	276938	612	0.0022	0.0022	0.1154	0.0025	1788	18	4	12	2	232	0.3791	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	1	232	nothing	-
document/Ford_1941_Speech_.pdf	p6	1935	2592	122	168071	945	0.0056	0.0056	0.0844	0.0061	1079	18	4	15	7	836	0.8847	1	446	0.4720	134x43+1681+199	1	446	134x43+1681+199	1	446	134x43+1681+199	1	446	134x43+1681+199	ok	-	-	-	-	-	-	-	-	-	-	-	1	446	1	446	1	446	1	446	1	446	loses	type
magazineArticle/Merriam_1913_Clutter of Things_The Independent.pdf	p2	1808	2807	136	846117	5336	0.0063	0.0063	0.0063	0.0034	4574	19	5	74	45	4649	0.8713	5	4256	0.7976	271x11+113+417	4	2414	132x11+1482+1099	1	489	85x11+874+1660	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	5	4256	6	4505	6	4505	5	4256	6	4505	loses	type
document/_1973_Committee Against Racism_.pdf	p1	1276	1651	149	219435	0	0.0000	0.0000	0.0000	0.0000	5049	10	2	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/_1973_Committee Against Racism_.pdf	p2	1276	1651	149	313174	0	0.0000	0.0000	0.0000	0.0000	7067	10	2	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/_1973_Committee Against Racism_.pdf	p3	1275	1650	151	295324	0	0.0000	0.0000	0.0000	0.0000	7316	10	2	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p6	1955	2597	106	464636	0	0.0000	0.0000	0.0018	0.0000	2024	25	5	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p10	1953	2592	101	300190	2	0.0000	0.0000	0.0001	0.0000	1537	24	5	2	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p12	1980	2592	92	264446	9	0.0000	0.0000	0.0000	0.0000	908	29	6	5	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p14	2216	2749	102	638801	0	0.0000	0.0000	0.0026	0.0000	1926	29	7	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p20	2168	2716	105	598586	1294	0.0022	0.0022	0.0152	0.0021	2036	27	6	8	1	163	0.1260	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	degraded	hand-mark-degraded
book/Riesman - 1954 - Individualism reconsidered, and other essays.pdf	p24	2100	2671	108	560837	824	0.0015	0.0015	0.0259	0.0014	2487	23	6	81	2	184	0.2233	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	p5	1414	2163	147	423570	0	0.0000	0.0000	0.0000	0.0000	2142	21	6	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/Guilford_Psychometric Methods.pdf	p1	920	1428	150	193959	601	0.0031	0.0031	0.0031	0.0000	2732	12	4	59	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
book/Guilford_Psychometric Methods.pdf	p5	928	1424	151	197517	0	0.0000	0.0000	0.0000	0.0000	2954	12	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Atkinson_1939_Atkinson on firings_.pdf	p1	1935	2592	108	373330	2	0.0000	0.0000	0.0845	0.0000	1917	19	4	1	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
document/Atkinson_1939_Atkinson on firings_.pdf	p3	1935	2592	130	504651	19587	0.0388	0.0388	0.1231	0.0383	2582	20	4	50	27	8694	0.4439	3	8201	0.4187	337x54+1136+2083	3	8189	336x54+1137+2083	3	8175	336x54+1137+2083	3	8158	335x54+1138+2083	ok	-	-	-	-	-	-	-	-	-	-	-	3	8201	4	8586	4	8586	2	8201	3	8586	loses	type+hand
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p10	1014	1614	175	250475	23	0.0001	0.0001	0.0510	0.0001	2291	14	4	3	0	0	0.0000	0	0	0.0000	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p13	1014	1614	176	234488	0	0.0000	0.0000	0.0256	0.0000	2269	14	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p16	1014	1614	172	245782	0	0.0000	0.0000	0.0305	0.0000	2281	14	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p19	1014	1614	178	233661	0	0.0000	0.0000	0.0206	0.0000	2529	14	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p22	1014	1614	173	220957	0	0.0000	0.0000	0.0362	0.0000	1868	14	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p25	1014	1614	177	242600	0	0.0000	0.0000	0.0228	0.0000	2321	14	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p28	1014	1614	175	235201	0	0.0000	0.0000	0.0428	0.0000	2154	14	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p31	1014	1614	176	243027	0	0.0000	0.0000	0.0221	0.0000	2378	14	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p34	1014	1614	179	238939	0	0.0000	0.0000	0.1131	0.0000	2607	13	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
bookSection/Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited.pdf	p37	1014	1614	179	234306	0	0.0000	0.0000	0.0550	0.0000	2613	13	4	0	0	0	-	0	0	-	-	0	0	-	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	nothing	-
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	p3	919	1357	147	186657	1624	0.0087	0.0087	0.0087	0.0064	3627	10	3	51	40	1586	0.9766	6	1574	0.9692	109x12+492+564	6	1399	108x11+493+565	3	912	101x10+500+566	3	858	101x9+500+567	ok	-	-	-	-	-	-	-	-	-	-	-	6	1574	6	1574	6	1574	6	1574	6	1574	loses	type
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	p5	915	1369	145	189074	1540	0.0081	0.0081	0.0081	0.0054	3311	10	3	50	38	1491	0.9682	4	1491	0.9682	260x12+335+709	3	1167	259x11+335+709	3	1005	259x10+335+709	2	478	126x9+468+709	ok	-	-	-	-	-	-	-	-	-	-	-	4	1491	4	1491	4	1491	4	1491	4	1491	loses	type
newspaperArticle/Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf	p1	1997	3219	150	1155973	2708	0.0023	0.0023	0.0024	0.0012	5007	21	6	38	18	2307	0.8519	1	1780	0.6573	250x19+710+1489	1	1487	250x19+710+1489	0	0	-	0	0	-	ok	-	-	-	-	-	-	-	-	-	-	-	1	1780	2	2061	2	2061	1	1780	2	2061	loses	type
