document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor	satPx	satN	topPx	topShare	topRun	edgeN	edgeShare	sheetFrac
Albanese_1997_Senate Will Examine Stock Option Bill	p2	162	0.128	0.077	0.063	0.0800	0.00046	0.00025	714546	2	picture	20319	53061	126	933	933	364	933	0.06853	0.25000	4538	32	2538	0.55928	13	0	0.00000	0.06853
Albanese_1997_Senate Will Examine Stock Option Bill	p3	149	0.013	0.005	0.000	0.0009	0.00000	0.00000	659736	1	1-bit	0	6443	0	16	16	15	18	0.00000	0.25000	0	0	0	0.00000	0	0	0.00000	0.00000
Atkinson_1939_Atkinson on firings_	p2	118	0.096	0.160	0.061	0.1098	0.00944	0.00776	3844260	1	picture	324089	208759	585	71	585	808	808	0.03324	0.25000	51450	4099	41227	0.80130	20	1	0.80130	0.00660
Atkinson_1939_Atkinson on firings_	p3	130	0.102	0.157	0.045	0.0808	0.00053	0.00218	3844260	1	picture	324902	220500	510	80	510	787	916	0.01066	0.25000	16503	3339	7577	0.45913	6	1	0.45913	0.00577
Black_0000_The Scandal of Educational Testing	p2	156	0.231	0.113	0.000	0.0076	0.00000	0.00000	1089786	1	picture	27148	105330	156	415	415	168	417	0.00000	0.25000	0	0	0	0.00000	0	0	0.00000	0.00000
Black_0000_The Scandal of Educational Testing	p3	159	0.174	0.105	0.039	0.0073	0.00000	0.00000	1087104	1	picture	27093	108578	110	453	453	370	458	0.03727	0.25000	3751	12	1409	0.37563	7	0	0.00000	0.03727
Davis_2005_Optimism of the Will_Nation	p2	138	0.135	0.034	0.001	0.0034	0.00000	0.00000	1523676	2	picture	28539	59823	261	1421	1421	287	1421	0.00068	0.25000	96	1	96	1.00000	3	0	0.00000	0.00068
Davis_2005_Optimism of the Will_Nation	p4	138	0.115	0.030	0.004	0.0000	0.00000	0.00000	1523676	2	1-bit	22	59265	8	118	118	108	119	0.00252	0.25000	356	2	185	0.51966	5	0	0.00000	0.00252
Ehrenreich_2000_Maid to order_Harper's Magazine	p5	189	0.151	0.097	0.037	0.0331	0.00000	0.00000	2697800	1	picture	28839	125339	289	564	564	386	566	0.06198	0.25000	8680	121	3617	0.41671	3	0	0.00000	0.06198
Ehrenreich_2000_Maid to order_Harper's Magazine	p9	192	0.145	0.106	0.023	0.0221	0.00000	0.00000	2722188	1	picture	25390	125930	96	512	512	232	512	0.03063	0.25000	4336	209	1447	0.33372	5	0	0.00000	0.03063
Ford_1941_Speech_	p3	116	0.053	0.149	0.045	0.0074	0.00036	0.00074	3844260	1	picture	39640	89967	264	202	264	275	368	0.01116	0.25000	17279	3047	7109	0.41142	3	12	0.56143	0.00490
Ford_1941_Speech_	p5	126	0.092	0.336	0.057	0.0788	0.00069	0.00361	3844260	1	picture	164541	93164	340	56	340	415	452	0.04082	0.25000	63184	3073	55743	0.88223	27	4	0.89016	0.00448
Glazer_2002_Higher Ed_New Republic	p1	160	0.165	0.095	0.012	0.0708	0.00000	0.00000	2651760	1	picture	11589	274875	42	1905	1905	220	1905	0.00550	0.25000	758	70	297	0.39182	51	0	0.00000	0.00550
Glazer_2002_Higher Ed_New Republic	p2	150	0.009	0.003	0.000	0.0003	0.00000	0.00000	659736	1	1-bit	0	4084	0	14	14	15	19	0.00000	0.25000	0	0	0	0.00000	0	0	0.00000	0.00000
HarpersMagazine-1938-05-0019577	p4	172	0.139	0.094	0.036	0.1355	0.00265	0.00134	1683248	1	1-bit	4655	155060	638	26	638	663	663	0.02017	0.25000	1762	1290	6	0.00341	1	0	0.00000	0.02017
HarpersMagazine-1938-05-0019577	p7	174	0.143	0.096	0.017	0.0870	0.00000	0.00000	1661108	1	1-bit	2378	153589	14	27	27	29	34	0.00042	0.25000	36	33	2	0.05556	2	0	0.00000	0.00042
