file	page	qualifying_gutters	widest_interior_quiet_frac
2008_Hoagland oral history.pdf	7	0	0.0
2008_Hoagland oral history.pdf	11	0	0.0
2008_McIntyre oral history.pdf	4	0	0.0016
2008_McIntyre oral history.pdf	9	0	0.0
2008_McIntyre oral history.pdf	13	0	0.0
2013 - Silicon Valley Program Transcript.pdf	9	0	0.0
2013 - Silicon Valley Program Transcript.pdf	19	0	0.0
2013 - Silicon Valley Program Transcript.pdf	28	0	0.0
2015_Gibbs oral history.pdf	17	0	0.0157
2015_Gibbs oral history.pdf	35	0	0.0157
2015_Gibbs oral history.pdf	53	0	0.0
2017_Bunnell oral history, athletics.pdf	17	0	0.0008
2017_Bunnell oral history, athletics.pdf	34	0	0.0149
2017_Bunnell oral history, athletics.pdf	51	0	0.0149
2024 - Class Action lawsuit re need blind admissions.pdf	18	0	0.0
2024 - Class Action lawsuit re need blind admissions.pdf	37	0	0.0
2024 - Class Action lawsuit re need blind admissions.pdf	56	0	0.0
Atkinson_1939_Atkinson on firings_.pdf	1	0	0.0017
Atkinson_1939_Atkinson on firings_.pdf	2	0	0.0
Atkinson_1939_Atkinson on firings_.pdf	3	0	0.0
Ford_1941_Speech_.pdf	1	0	0.0126
Ford_1941_Speech_.pdf	3	0	0.0
Ford_1941_Speech_.pdf	4	0	0.0027
Freud_Fetishism.pdf	1	1	0.0629
Freud_Fetishism.pdf	3	0	0.0268
Freud_Fetishism.pdf	5	0	0.0328
Galison_1998_Trading Zone_.pdf	3	0	0.0
Galison_1998_Trading Zone_.pdf	7	0	0.0
Galison_1998_Trading Zone_.pdf	10	0	0.0
Geiger oral history.pdf	24	0	0.0149
Geiger oral history.pdf	49	0	0.0
Geiger oral history.pdf	74	0	0.0149
Henry Morgenthau papers.pdf	50	3	0.0478
Henry Morgenthau papers.pdf	100	3	0.1122
Henry Morgenthau papers.pdf	150	2	0.0667
Herbert Marks papers.pdf	3	0	0.0125
Herbert Marks papers.pdf	7	0	0.0157
Herbert Marks papers.pdf	11	0	0.0047
Intellectual History Newsletter -- Forum on Menand.pdf	11	0	0.0
Intellectual History Newsletter -- Forum on Menand.pdf	22	0	0.0
Intellectual History Newsletter -- Forum on Menand.pdf	33	0	0.0
Lyons oral history.pdf	28	0	0.0157
Lyons oral history.pdf	57	0	0.0157
Lyons oral history.pdf	85	0	0.0157
Nogales oral history.pdf	11	0	0.0
Nogales oral history.pdf	23	0	0.0078
Nogales oral history.pdf	34	0	0.0071
October_2,_1960_(Page_24_of_25.pdf	1	0	0.0066
RIESMAN_1942_American Law Institute Proceedings_.pdf	2	0	0.0193
RIESMAN_1942_American Law Institute Proceedings_.pdf	5	1	0.0351
RIESMAN_1942_American Law Institute Proceedings_.pdf	7	0	0.0
Riesman_1964_From inner-directed to other- directed_.pdf	4	0	0.0149
Riesman_1964_From inner-directed to other- directed_.pdf	9	0	0.0
Riesman_1964_From inner-directed to other- directed_.pdf	13	0	0.0
Riesman_1964_The New Education_.pdf	3	0	0.0
Riesman_1964_The New Education_.pdf	6	0	0.0
Riesman_1964_The New Education_.pdf	9	0	0.0
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	7	0	0.0
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	15	0	0.0
Riesman_1973_THEMES OF WORK AND PLAY IN THE STRUCTURE OF FREUD S THOUGHT_.pdf	22	0	0.0
Senate, Democratic Leadership.pdf	6	0	0.0
Senate, Democratic Leadership.pdf	13	0	0.0
Senate, Democratic Leadership.pdf	20	0	0.0039
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	1	0	0.0
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	2	0	0.0
Stanford_1891_Jane Stanford opening day speech (undelivered).pdf	3	0	0.001
Stiglitz1975(onPasinetti1974).pdf	1	0	0.0
Stiglitz1975(onPasinetti1974).pdf	2	0	0.0093
Stiglitz1975(onPasinetti1974).pdf	3	0	0.0028
_1939_Former students to Board re Merriam_.pdf	4	0	0.0002
_1939_Former students to Board re Merriam_.pdf	9	0	0.0057
_1939_Former students to Board re Merriam_.pdf	13	0	0.0
_1953_99 Cong_ 2.pdf	7	0	0.005
_1953_99 Cong_ 2.pdf	15	0	0.0036
_1953_99 Cong_ 2.pdf	23	0	0.0021
_1953_99 Cong_.pdf	8	0	0.0014
_1953_99 Cong_.pdf	16	0	0.0014
_1953_99 Cong_.pdf	24	0	0.0014
_1953_Conspicuous Production_.pdf	1	0	0.0031
_1953_Conspicuous Production_.pdf	2	0	0.0
_1953_Conspicuous Production_.pdf	3	0	0.0
_1960_Organization and operation of the Small Business Administration_.pdf	18	0	0.0
_1960_Organization and operation of the Small Business Administration_.pdf	36	0	0.0
_1960_Organization and operation of the Small Business Administration_.pdf	54	0	0.0
_1973_Committee Against Racism_.pdf	1	0	0.0
_1973_Committee Against Racism_.pdf	2	0	0.0
_1973_Committee Against Racism_.pdf	3	0	0.0
_1979_Ideology of American Neo-Conservatism_.pdf	4	0	0.0
_1979_Ideology of American Neo-Conservatism_.pdf	8	0	0.0
_1979_Ideology of American Neo-Conservatism_.pdf	12	0	0.0
ppf_description.pdf	1	0	0.0129
ppf_description.pdf	2	0	0.0023
ppf_description.pdf	3	0	0.0
w5093.pdf	16	0	0.0
w5093.pdf	32	0	0.0
w5093.pdf	48	1	0.0382
1935_Title Page.pdf	1	0	0.0072
1935_Title Page.pdf	2	0	0.0024
1944_Options picking up.pdf	1	0	0.0
1944_Options picking up.pdf	2	0	0.0
1944_Options picking up.pdf	3	0	0.0024
Albanese_1997_Senate Will Examine Stock Option Bill.pdf	1	0	0.0
Albanese_1997_Senate Will Examine Stock Option Bill.pdf	2	0	0.0
Albanese_1997_Senate Will Examine Stock Option Bill.pdf	3	0	0.0024
Baker_2000_The Supply-Side Effect of a Stock Market Crash.pdf	3	0	0.0
Baker_2000_The Supply-Side Effect of a Stock Market Crash.pdf	6	0	0.0
Baker_2000_The Supply-Side Effect of a Stock Market Crash.pdf	9	0	0.0
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	13	0	0.0
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	27	0	0.0
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	40	0	0.0
Borges_The Lottery in Babylon.pdf	1	0	0.0024
Borges_The Lottery in Babylon.pdf	2	0	0.0
Borges_The Lottery in Babylon.pdf	3	0	0.0
Burke - The Expansion of American Higher Education.pdf	6	0	0.0
Burke - The Expansion of American Higher Education.pdf	12	0	0.0
Burke - The Expansion of American Higher Education.pdf	18	0	0.0
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review.pdf	4	0	0.0
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review.pdf	9	0	0.0021
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review.pdf	14	0	0.0021
Crystal_2000_Option grants leave CEOs with sinking feeling.pdf	1	0	0.0
Donahue - 2001 - Time to Get Serious About Talent Management.pdf	1	0	0.0241
Donahue - 2001 - Time to Get Serious About Talent Management.pdf	2	0	0.0215
Donahue - 2001 - Time to Get Serious About Talent Management.pdf	3	0	0.0008
Eyal-Cohen - Why Is Small Business the Chief Business of Congress.pdf	14	0	0.0
Eyal-Cohen - Why Is Small Business the Chief Business of Congress.pdf	29	0	0.0
Eyal-Cohen - Why Is Small Business the Chief Business of Congress.pdf	44	0	0.0
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors.pdf	14	0	0.0
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors.pdf	28	0	0.0
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors.pdf	42	0	0.0
Har - THE NECKLACE OF KALI..pdf	1	0	0.0089
Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	3	0	0.0282
Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	7	0	0.029
Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	11	0	0.0
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_.pdf	3	0	0.0
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_.pdf	6	0	0.0
Kristol_1970_When virtue loses all her loveliness --some reflections on capitalism and_.pdf	9	0	0.0
Lemieux et al. - Performance Pay and Wage Inequality.pdf	12	0	0.0
Lemieux et al. - Performance Pay and Wage Inequality.pdf	25	0	0.0
Lemieux et al. - Performance Pay and Wage Inequality.pdf	37	0	0.0
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks.pdf	6	0	0.0
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks.pdf	12	0	0.0
Litt_1974_Liberty Above Equality The Counterreformation in Higher Education Policy_The American Behavioral Scientist (pre-1986); Thousand Oaks.pdf	18	0	0.0
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State.pdf	2	0	0.0
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State.pdf	5	0	0.0016
Longenecker et al_1987_Behind The Mask_The Academy of Management Executive; Mississippi State.pdf	8	0	0.0016
Lowell - The Government of Dependencies.pdf	3	0	0.0
Lowell - The Government of Dependencies.pdf	7	0	0.0
Lowell - The Government of Dependencies.pdf	10	0	0.0
McWilliams_1933_Provincialism_The Frontier and Midland.pdf	3	0	0.0196
McWilliams_1933_Provincialism_The Frontier and Midland.pdf	7	0	0.0008
McWilliams_1933_Provincialism_The Frontier and Midland.pdf	11	0	0.0141
Merriam_1920_Daughter of Pan_The Montanan (The Frontier).pdf	1	0	0.0
Price_1958_The Small Business Tax Revision of 1958.pdf	9	0	0.0
Price_1958_The Small Business Tax Revision of 1958.pdf	18	0	0.0
Price_1958_The Small Business Tax Revision of 1958.pdf	27	0	0.0
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43).pdf	13	0	0.0
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43).pdf	27	0	0.0
Riesman_1942_Democracy and Defamation_Columbia Law Review (2017-04-04 13-44-43).pdf	41	0	0.0
Riesman_1949_Men, Women, and Marriage_Nation.pdf	1	0	0.0093
Riesman_1949_Men, Women, and Marriage_Nation.pdf	2	0	0.0085
Riesman_1949_Men, Women, and Marriage_Nation.pdf	3	0	0.0023
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review.pdf	3	0	0.0
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review.pdf	7	0	0.0
Riesman_1958_Who Will and Who Should Pay for Higher Education_The School Review.pdf	11	0	0.0
Riesman_1976_Thoughts on the Graduate Experience_Change.pdf	1	0	0.0
Riesman_1976_Thoughts on the Graduate Experience_Change.pdf	3	0	0.007
Riesman_1976_Thoughts on the Graduate Experience_Change.pdf	5	0	0.0039
Ripley_1889_The Teaching of the English Language and Literature_Education.pdf	4	0	0.0
Ripley_1889_The Teaching of the English Language and Literature_Education.pdf	8	0	0.0
Ripley_1889_The Teaching of the English Language and Literature_Education.pdf	12	0	0.0
Robin_Stephens_1996_Against the Grain_Social Text.pdf	8	0	0.0
Robin_Stephens_1996_Against the Grain_Social Text.pdf	16	0	0.0
Robin_Stephens_1996_Against the Grain_Social Text.pdf	24	0	0.0
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY.pdf	4	0	0.01
