document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor
Stone_1965_England’s Revolution_The New York Review of Books	p2	128	0.111	0.007	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	26841	0	23	23	17	23	0.00000	0.25000
Stone_1965_England’s Revolution_The New York Review of Books	p3	128	0.107	0.007	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	25919	0	24	24	17	24	0.00000	0.25000
_1958_Executive Pay_Nation's Business (pre-1986); Washington	p3	147	0.186	0.062	0.000	0.0004	0.00000	0.00000	957145	1	picture	50	90916	8	23	23	15	35	0.00000	0.25000
_1958_Executive Pay_Nation's Business (pre-1986); Washington	p5	145	0.185	0.062	0.000	0.0000	0.00000	0.00000	960399	1	picture	61	71232	3	23	23	21	24	0.00000	0.25000
_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York	p1	163	0.116	0.085	0.064	0.0384	0.00112	0.00050	1397655	1	picture	29413	101323	539	1339	1339	1257	1340	0.00236	0.25000
_1977_What We're About_Washington Monthly	p2	128	0.090	0.002	0.000	0.0000	0.00000	0.00000	1028643	2	1-bit	130	8744	1	57	57	13	57	0.00000	0.25000
_1977_What We're About_Washington Monthly	p3	128	0.175	0.007	0.000	0.0000	0.00000	0.00000	1028643	2	1-bit	0	37563	0	380	380	379	380	0.00000	0.25000
1976_Results of Trading in Stock Options	p1	131	0.140	0.006	0.000	0.0000	0.00000	0.00000	1584198	2	1-bit	4	17046	0	1513	1513	5	1513	0.00000	0.25000
Berendzen_1981_The Soaring Lesson of America in Space_Newsday (1940-1990), Nassau ed.; Long Island, N.Y.	p1	136	0.244	0.044	0.000	0.0113	0.00000	0.00000	1923012	1	picture	5283	136492	17	504	504	166	505	0.00000	0.25000
Gitlin_2000_How Our Crowd Got Lonely_New York Times	p1	150	0.189	0.072	0.000	0.0012	0.00000	0.00000	942761	1	picture	137	76577	2	436	436	259	438	0.00000	0.25000
Glazer_2003_Neoconservatives, Then and Now_New York Times	p1	146	0.094	0.031	0.000	0.0334	0.00000	0.00000	291250	2	1-bit	248	11625	3	21	21	29	32	0.00000	0.25000
JOURNAL_1969_Giving the Boss a Raise_Wall Street Journal (1923 - Current file); New York, N.Y.	p1	142	0.148	0.034	0.000	0.0000	0.00000	0.00000	2001384	1	1-bit	39	114496	5	46	46	42	46	0.00000	0.25000
Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK)	p1	150	0.219	0.093	0.000	0.0375	0.00000	0.00000	1230592	2	picture	636	133694	5	43	43	84	171	0.00000	0.25000
Zipkin_2000_Management	p1	139	0.133	0.028	0.000	0.0000	0.00000	0.00000	813246	2	1-bit	4	25565	0	255	255	117	271	0.00000	0.25000
Zipkin_2000_Management	p2	137	0.212	0.035	0.000	0.0000	0.00000	0.00000	870905	2	picture	0	44719	0	329	329	289	329	0.00000	0.25000
_1926_Clapp defends Cox_Billings Gazette	p1	135	0.172	0.018	0.000	0.0001	0.00000	0.00000	3398198	2	1-bit	1351	135564	3	408	408	850	1196	0.00000	0.25000
_1926_Cox resigns, following most severe public criticism that ever has been_Anaconda Standard	p1	135	0.168	0.022	0.000	0.0000	0.00000	0.00000	1818180	2	1-bit	335	64450	3	607	607	606	607	0.00000	0.25000
_1926_English dept summer school_Havre Daily News Promoter	p1	128	0.164	0.008	0.000	0.0000	0.00000	0.00000	2808576	2	1-bit	6	58077	0	1404	1404	69	1404	0.00000	0.25000
_1928_Creative writing a featured course at Summer School_Helena Daily Independent	p1	128	0.281	0.010	0.000	0.0000	0.00000	0.00000	2225028	2	1-bit	12	51459	3	1112	1112	144	1112	0.00000	0.25000
_1931_Again, press most excited about Frontier's history section_Helena Daily Independent	p1	128	0.214	0.021	0.000	0.0000	0.00000	0.00000	2225090	2	1-bit	4	101644	0	674	674	707	707	0.00000	0.25000
_1939_Kalispell resident offering private creative writing courses, out of her home_Kalispell Daily Inter Lake	p1	128	0.285	0.021	0.000	0.0003	0.00000	0.00000	2616513	2	1-bit	2627	145742	3	813	813	811	816	0.00000	0.25000
_1941_Fiedler's hiring at UM announced_Helena Independent	p1	128	0.261	0.019	0.000	0.0001	0.00000	0.00000	2454688	2	1-bit	700	120856	4	1579	1579	1579	1579	0.00000	0.25000
_1950_Comic_Independent Record	p1	128	0.222	0.012	0.000	0.0000	0.00000	0.00000	3173100	2	1-bit	35	98405	1	561	561	561	561	0.00000	0.25000
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y.	p2	139	0.213	0.055	0.000	0.0002	0.00000	0.00000	1079568	1	picture	225	90041	6	483	483	213	486	0.00000	0.25000
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y.	p3	147	0.168	0.060	0.000	0.0004	0.00000	0.00000	1155028	1	picture	475	93253	32	519	519	82	519	0.00000	0.25000
___ 2	p1	135	0.187	0.018	0.000	0.0000	0.00000	0.00000	1417572	2	1-bit	37	58510	2	392	392	172	392	0.00000	0.25000
___ 3	p1	100	0.076	0.167	0.000	0.1045	0.00254	0.00386	1217664	6	picture	144226	168802	386	386	386	406	406	0.00000	0.25000
___ 4	p1	144	0.152	0.046	0.000	0.0183	0.00000	0.00000	1953539	2	picture	595	113651	9	861	861	68	906	0.00000	0.25000
___ 5	p1	128	0.173	0.007	0.000	0.0000	0.00000	0.00000	1729720	2	1-bit	0	33443	0	588	588	61	588	0.00000	0.25000
___	p1	126	0.180	0.068	0.000	0.1106	0.00049	0.00022	1377544	6	picture	38538	179525	108	296	296	507	507	0.00000	0.25000
1957_Allied Chemical & Dye Corporation Annual Report -- 1957	p12	90	0.233	0.000	0.000	0.0000	0.00000	0.00000	1504496	2	1-bit	0	378	0	481	481	5	481	0.00000	0.25000
1957_Allied Chemical & Dye Corporation Annual Report -- 1957	p24	128	0.035	0.003	0.000	0.0001	0.00000	0.00000	1165100	2	1-bit	285	5666	4	128	128	129	201	0.00000	0.25000
1958_CiT Financial Corporation Annual Report -- 1958	p14	128	0.086	0.009	0.000	0.0000	0.00000	0.00000	1274280	2	picture	0	13901	0	108	108	16	108	0.00000	0.25000
1958_CiT Financial Corporation Annual Report -- 1958	p28	90	0.070	0.000	0.000	0.0000	0.00000	0.00000	692831	2	1-bit	0	1212	0	19	19	9	19	0.00000	0.25000
1958_E	p17	128	0.120	0.005	0.000	0.0000	0.00000	0.00000	482202	2	1-bit	1	5654	0	129	129	106	129	0.00000	0.25000
1958_E	p34	90	0.075	0.000	0.000	0.0000	0.00000	0.00000	615244	2	1-bit	0	1120	0	21	21	11	21	0.00000	0.25000
1958_General Foods Corporation Annual Report -- 1958	p10	90	0.106	0.001	0.000	0.0000	0.00000	0.00000	995596	2	1-bit	3	8004	1	22	22	9	22	0.00000	0.25000
1958_General Foods Corporation Annual Report -- 1958	p19	128	0.063	0.000	0.000	0.0000	0.00000	0.00000	948934	2	1-bit	0	5864	0	17	17	8	17	0.00000	0.25000
1958_The Anaconda Company Annual Report -- 1958	p12	90	0.057	0.000	0.000	0.0000	0.00000	0.00000	943460	2	1-bit	0	0	0	19	19	0	19	0.00000	0.25000
1958_The Anaconda Company Annual Report -- 1958	p23	128	0.071	0.005	0.000	0.0000	0.00000	0.00000	955840	2	1-bit	0	12290	0	15	15	11	16	0.00000	0.25000
1958_The Goodyear Tire & Rubber Company Annual Report -- 1958	p15	90	0.099	0.000	0.000	0.0000	0.00000	0.00000	1293980	2	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
1958_The Goodyear Tire & Rubber Company Annual Report -- 1958	p29	90	0.269	0.000	0.000	0.0000	0.00000	0.00000	1350048	2	1-bit	0	0	0	553	553	0	553	0.00000	0.25000
AI 2027	p24	149	0.079	0.021	0.013	0.0000	0.00000	0.00000	1803480	1	1-bit	80	51317	5	42	42	16	46	0.01298	0.25000
AI 2027	p48	137	0.047	0.008	0.001	0.0000	0.00000	0.00000	1665475	2	1-bit	0	22448	0	26	26	18	26	0.00005	0.25000
Autor et al_2020_Extending the Race between Education and Technology	p7	90	0.065	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Autor et al_2020_Extending the Race between Education and Technology	p14	90	0.006	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
Hoxby_1997_How the Changing Market Structure of U_National Bureau of Economic Research	p27	143	0.054	0.015	0.000	0.0013	0.00000	0.00000	1657656	2	1-bit	3	36126	0	24	24	25	25	0.00000	0.25000
Hoxby_1997_How the Changing Market Structure of U_National Bureau of Economic Research	p54	139	0.052	0.011	0.000	0.0021	0.00000	0.00000	1638112	2	1-bit	3	22479	0	580	580	216	581	0.00000	0.25000
Kremer_Maskin_1996_Wage Inequality and Segregation by Skill_National Bureau of Economic Research	p22	135	0.055	0.007	0.000	0.0000	0.00000	0.00000	1636362	2	1-bit	0	18302	0	659	659	64	660	0.00000	0.25000
Kremer_Maskin_1996_Wage Inequality and Segregation by Skill_National Bureau of Economic Research	p43	128	0.052	0.004	0.000	0.0000	0.00000	0.00000	1635228	2	1-bit	0	17781	0	359	359	339	359	0.00000	0.25000
Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ	p23	131	0.041	0.002	0.015	0.0119	0.00000	0.00000	1412444	2	1-bit	17	6393	2	22	22	13	23	0.01146	0.25000
Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ	p45	133	0.040	0.003	0.015	0.0096	0.00000	0.00000	1412444	2	1-bit	21	6945	0	22	22	15	22	0.01204	0.25000
Temin_1997_The American Business Elite in Historical Perspective	p17	153	0.044	0.016	0.000	0.0000	0.00000	0.00000	1647604	1	1-bit	51	35153	2	22	22	19	24	0.00000	0.25000
Temin_1997_The American Business Elite in Historical Perspective	p33	155	0.041	0.016	0.000	0.0000	0.00000	0.00000	1649886	1	1-bit	72	33844	2	23	23	19	23	0.00000	0.25000
_1950_Fairchild Camera and Instrument Corporation Annual Report -- 1950_ProQuest Annual Reports	p9	131	0.054	0.002	0.000	0.0000	0.00000	0.00000	1405964	2	1-bit	0	3699	0	21	21	14	21	0.00000	0.25000
_1950_Fairchild Camera and Instrument Corporation Annual Report -- 1950_ProQuest Annual Reports	p17	129	0.125	0.003	0.000	0.0000	0.00000	0.00000	1312192	2	1-bit	0	6910	0	1414	1414	33	1414	0.00000	0.25000
_1953_Fairchild Camera and Instrument Corporation Annual Report -- 1953_ProQuest Annual Reports	p9	133	0.031	0.002	0.000	0.0000	0.00000	0.00000	566412	2	1-bit	0	1743	0	16	16	8	16	0.00000	0.25000
_1953_Fairchild Camera and Instrument Corporation Annual Report -- 1953_ProQuest Annual Reports	p17	132	0.080	0.004	0.000	0.0000	0.00000	0.00000	701190	2	1-bit	7	6685	0	19	19	13	19	0.00000	0.25000
_1958_Small Business Investment Act_	p10	90	0.175	0.000	0.000	0.0000	0.00000	0.00000	819924	3	1-bit	0	0	0	35	35	0	35	0.00000	0.25000
_1958_Small Business Investment Act_	p19	90	0.196	0.000	0.000	0.0000	0.00000	0.00000	763336	3	1-bit	0	0	0	41	41	0	41	0.00000	0.25000
_1961_Fairchild Camera and Instrument Corporation Annual Report -- 1961_ProQuest Annual Reports	p13	90	0.225	0.000	0.000	0.0000	0.00000	0.00000	1480960	2	1-bit	0	0	0	382	382	0	382	0.00000	0.25000
_1961_Fairchild Camera and Instrument Corporation Annual Report -- 1961_ProQuest Annual Reports	p26	90	0.185	0.000	0.000	0.0000	0.00000	0.00000	1359450	2	1-bit	0	88	0	426	426	21	426	0.00000	0.25000
_1963_Fairchild Camera and Instrument Corporation Annual Report -- 1963_ProQuest Annual Reports	p12	90	0.332	0.000	0.000	0.0000	0.00000	0.00000	1153248	2	1-bit	0	0	0	867	867	0	867	0.00000	0.25000
_1963_Fairchild Camera and Instrument Corporation Annual Report -- 1963_ProQuest Annual Reports	p23	128	0.319	0.009	0.000	0.0000	0.00000	0.00000	987660	2	1-bit	1	21493	0	661	661	339	780	0.00000	0.25000
_1966_Fairchild Camera and Instrument Corporation Annual Report -- 1966_ProQuest Annual Reports	p11	128	0.218	0.013	0.000	0.0001	0.00000	0.00000	1021075	2	1-bit	276	20007	2	537	537	327	580	0.00000	0.25000
_1966_Fairchild Camera and Instrument Corporation Annual Report -- 1966_ProQuest Annual Reports	p21	90	0.083	0.000	0.000	0.0000	0.00000	0.00000	1620489	2	1-bit	0	2056	0	555	555	29	556	0.00000	0.25000
_1967_Fairchild Camera and Instrument Corporation Annual Report -- 1967_ProQuest Annual Reports	p8	128	0.166	0.002	0.000	0.0000	0.00000	0.00000	1371178	2	1-bit	4	11830	0	394	394	51	394	0.00000	0.25000
_1967_Fairchild Camera and Instrument Corporation Annual Report -- 1967_ProQuest Annual Reports	p15	90	0.026	0.000	0.000	0.0000	0.00000	0.00000	1533224	2	1-bit	0	0	0	1096	1096	0	1096	0.00000	0.25000
_1971_Fairchild Camera and Instrument Corporation Annual Report -- 1971_ProQuest Annual Reports	p7	127	0.332	0.002	0.000	0.0000	0.00000	0.00000	1453232	2	1-bit	143	9316	5	931	931	42	932	0.00000	0.25000
_1971_Fairchild Camera and Instrument Corporation Annual Report -- 1971_ProQuest Annual Reports	p13	128	0.031	0.001	0.000	0.0000	0.00000	0.00000	1511601	2	1-bit	0	0	0	19	19	0	19	0.00000	0.25000
_1976_Fairchild Camera and Instrument Corporation Annual Report -- 1976_ProQuest Annual Reports	p14	134	0.051	0.003	0.000	0.0000	0.00000	0.00000	1311632	2	1-bit	23	8749	1	416	416	26	416	0.00000	0.25000
_1976_Fairchild Camera and Instrument Corporation Annual Report -- 1976_ProQuest Annual Reports	p27	134	0.030	0.002	0.000	0.0000	0.00000	0.00000	1310470	2	1-bit	0	5687	0	19	19	12	19	0.00000	0.25000
w7787 2	p11	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
w7787 2	p21	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
w7787	p11	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
w7787	p21	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
Anderson_1997_Legacy of the American Frontier_California State University, Fresno	p54	90	0.007	0.000	0.000	0.0000	0.00000	0.00000	1680380	2	1-bit	0	1593	0	23	23	15	30	0.00000	0.25000
Anderson_1997_Legacy of the American Frontier_California State University, Fresno	p107	90	0.178	0.000	0.000	0.0000	0.00000	0.00000	1702134	2	1-bit	0	1261	0	731	731	15	731	0.00000	0.25000
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning	p45	90	0.079	0.000	0.000	0.0000	0.00000	0.00000	1620640	2	1-bit	0	0	0	25	25	0	25	0.00000	0.25000
BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning	p89	90	0.067	0.000	0.000	0.0000	0.00000	0.00000	1644150	2	1-bit	0	0	0	26	26	0	26	0.00000	0.25000
Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm	p135	90	0.054	0.000	0.000	0.0000	0.00000	0.00000	1691238	2	1-bit	0	2539	0	24	24	12	25	0.00000	0.25000
Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm	p269	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1685600	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
CAMFIELD_Psychologists at War	p112	131	0.064	0.003	0.000	0.0000	0.00000	0.00000	1473192	2	1-bit	0	7007	0	24	24	8	24	0.00000	0.25000
CAMFIELD_Psychologists at War	p223	131	0.099	0.004	0.000	0.0000	0.00000	0.00000	1473192	2	1-bit	0	10561	0	41	41	11	41	0.00000	0.25000
CARTWRIGHT_Legislation Against Discrimination in Employment in New York State	p133	90	0.066	0.000	0.000	0.0000	0.00000	0.00000	1640112	2	1-bit	0	2192	0	45	45	7	45	0.00000	0.25000
CARTWRIGHT_Legislation Against Discrimination in Employment in New York State	p266	90	0.052	0.000	0.000	0.0000	0.00000	0.00000	1640112	2	1-bit	0	0	0	45	45	0	45	0.00000	0.25000
Clark_The graphic rating scale at Northwestern University	p37	90	0.028	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
Clark_The graphic rating scale at Northwestern University	p74	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	1277290	3	1-bit	0	0	0	26	26	0	26	0.00000	0.25000
Cooley - 2008 - Moving up, moving out Race and social mobility in Chicago, 1914–1972	p126	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Cooley - 2008 - Moving up, moving out Race and social mobility in Chicago, 1914–1972	p251	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1619845	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Corson_Current practices in student guidance and personnel administration in liberal	p79	90	0.056	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit	0	0	0	38	38	0	38	0.00000	0.25000
Corson_Current practices in student guidance and personnel administration in liberal	p157	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit	0	0	0	23	23	0	23	0.00000	0.25000
DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa	p106	90	0.038	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	23	23	0	23	0.00000	0.25000
DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa	p211	90	0.033	0.000	0.000	0.0000	0.00000	0.00000	1629800	2	1-bit	0	0	0	40	40	0	40	0.00000	0.25000
DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas	p94	90	0.020	0.000	0.000	0.0000	0.00000	0.00000	1734698	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas	p187	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1695375	2	1-bit	0	0	0	45	45	0	45	0.00000	0.25000
Doermann_1967_The market for college education in the United States	p10	177	0.079	0.121	0.000	0.2846	0.03897	0.01758	1626561	2	picture	219080	72499	310	1400	1400	1394	1401	0.00000	0.25000
Doermann_1967_The market for college education in the United States	p19	171	0.121	0.100	0.000	0.2577	0.00097	0.00055	1626077	2	1-bit	137681	98781	316	41	316	797	797	0.00000	0.25000
Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II	p81	90	0.039	0.000	0.000	0.0000	0.00000	0.00000	1670652	2	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II	p161	90	0.038	0.000	0.000	0.0000	0.00000	0.00000	1670652	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
ERICKSON - 1952 - The Taxation of Investment Companies in the United States	p227	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	1660020	2	1-bit	0	6269	0	26	26	9	26	0.00000	0.25000
ERICKSON - 1952 - The Taxation of Investment Companies in the United States	p453	90	0.066	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	44	44	0	44	0.00000	0.25000
Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po	p162	90	0.034	0.000	0.000	0.0000	0.00000	0.00000	1675116	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po	p323	90	0.036	0.000	0.000	0.0000	0.00000	0.00000	1677734	2	1-bit	0	3568	0	31	31	16	31	0.00000	0.25000
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University	p71	90	0.142	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	71	71	0	71	0.00000	0.25000
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University	p142	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	1644150	2	1-bit	0	0	0	26	26	0	26	0.00000	0.25000
GIERHAN_The Role of Head Student Personnel Administrators in the Big Eight Universities	p74	90	0.029	0.000	0.000	0.0000	0.00000	0.00000	1584495	2	1-bit	0	1086	0	17	17	10	17	0.00000	0.25000
GIERHAN_The Role of Head Student Personnel Administrators in the Big Eight Universities	p148	90	0.042	0.000	0.000	0.0000	0.00000	0.00000	1599059	2	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
GRUMET_The Menorah Idea and the Apprenticeship of Lionel Trilling	p110	90	0.051	0.000	0.000	0.0000	0.00000	0.00000	1646736	2	1-bit	0	0	0	23	23	0	23	0.00000	0.25000
GRUMET_The Menorah Idea and the Apprenticeship of Lionel Trilling	p219	90	0.047	0.000	0.000	0.0000	0.00000	0.00000	1641566	2	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
Ho_Useful fiction	p107	90	0.039	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Ho_Useful fiction	p213	90	0.040	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Jensen_The rise of an African-American Left	p191	90	0.087	0.000	0.000	0.0000	0.00000	0.00000	1867957	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Jensen_The rise of an African-American Left	p381	90	0.053	0.000	0.000	0.0000	0.00000	0.00000	1862820	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Kiernan_1959_Job evaluation for precision optical craftsmen_University of Southern California	p63	90	0.057	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	427	427	0	427	0.00000	0.25000
Kiernan_1959_Job evaluation for precision optical craftsmen_University of Southern California	p126	90	0.054	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	458	458	0	458	0.00000	0.25000
Koh - 2008 - Essays on stock options expensing and stock option	p64	90	0.041	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Koh - 2008 - Essays on stock options expensing and stock option	p127	90	0.030	0.000	0.000	0.0000	0.00000	0.00000	1623858	2	1-bit	0	0	0	1153	1153	0	1153	0.00000	0.25000
MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University	p58	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	1646736	2	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University	p115	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	1633826	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
NAYLOR_Arthur E	p89	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	1653372	2	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
NAYLOR_Arthur E	p178	90	0.059	0.000	0.000	0.0000	0.00000	0.00000	1632375	2	1-bit	0	0	0	25	25	0	25	0.00000	0.25000
PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign	p67	90	0.063	0.000	0.000	0.0000	0.00000	0.00000	1612948	2	1-bit	0	0	0	26	26	0	26	0.00000	0.25000
PANG_1971_An Optimizing Approach to Educational Planning in Singapore_University of Illinois at Urbana-Champaign	p134	90	0.040	0.000	0.000	0.0000	0.00000	0.00000	1621760	2	1-bit	0	0	0	47	47	0	47	0.00000	0.25000
PRICE_A History of the American College Personnel Association	p58	90	0.060	0.000	0.000	0.0000	0.00000	0.00000	1657424	2	1-bit	0	0	0	32	32	0	32	0.00000	0.25000
PRICE_A History of the American College Personnel Association	p115	90	0.062	0.000	0.000	0.0000	0.00000	0.00000	1655965	2	1-bit	0	0	0	40	40	0	40	0.00000	0.25000
Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967	p88	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1675116	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967	p175	90	0.049	0.000	0.000	0.0000	0.00000	0.00000	1667274	2	1-bit	0	0	0	24	24	0	24	0.00000	0.25000
Ries_Marshall_1955_web	p36	153	0.060	0.023	0.000	0.0238	0.00000	0.00000	1494207	1	1-bit	630	47675	5	21	21	17	26	0.00000	0.25000
Ries_Marshall_1955_web	p72	153	0.064	0.024	0.000	0.0271	0.00000	0.00000	1495200	1	1-bit	1663	48128	5	25	25	20	27	0.00000	0.25000
Robertson_1990_Organizational adaptation to environmental change_Stanford University copy	p67	146	0.066	0.020	0.000	0.0000	0.00000	0.00000	1440383	1	1-bit	5	44372	2	22	22	19	24	0.00000	0.25000
Robertson_1990_Organizational adaptation to environmental change_Stanford University copy	p134	143	0.060	0.016	0.000	0.0000	0.00000	0.00000	1455300	1	1-bit	6	35894	0	22	22	23	24	0.00000	0.25000
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech	p101	157	0.133	0.064	0.037	0.0007	0.00000	0.00000	1727880	2	picture	70779	34187	130	459	459	187	460	0.06367	0.25000
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech	p201	138	0.057	0.011	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	20821	0	22	22	17	22	0.00000	0.25000
Silberman_1961_A study of industry policy considerations in the transition from airplane to_University of Southern California	p56	90	0.052	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	460	460	0	460	0.00000	0.25000
Silberman_1961_A study of industry policy considerations in the transition from airplane to_University of Southern California	p111	90	0.052	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	412	412	0	412	0.00000	0.25000
TO_1985_Variations in Earnings in the Work Settings_University of Illinois at Urbana-Champaign	p80	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1612948	2	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
TO_1985_Variations in Earnings in the Work Settings_University of Illinois at Urbana-Champaign	p159	90	0.049	0.000	0.000	0.0000	0.00000	0.00000	1612948	2	1-bit	0	0	0	21	21	0	21	0.00000	0.25000
TROTMAN - 1976 - Race, Iq, and the Middle-Class.	p40	90	0.026	0.000	0.000	0.0000	0.00000	0.00000	406080	4	1-bit	0	0	0	593	593	0	593	0.00000	0.25000
TROTMAN - 1976 - Race, Iq, and the Middle-Class.	p80	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	408880	4	1-bit	0	0	0	608	608	0	608	0.00000	0.25000
WITTE_1978_Democracy, Authority and Alienation in Work_Yale University	p138	90	0.066	0.000	0.000	0.0000	0.00000	0.00000	1453094	2	1-bit	0	0	0	1426	1426	0	1426	0.00000	0.25000
WITTE_1978_Democracy, Authority and Alienation in Work_Yale University	p276	90	0.053	0.000	0.000	0.0000	0.00000	0.00000	1467583	2	1-bit	0	6055	0	1265	1265	6	1279	0.00000	0.25000
Wu - 2003 - Employee stock option design and valuation	p37	90	0.034	0.000	0.000	0.0000	0.00000	0.00000	1684122	2	1-bit	0	0	0	423	423	0	423	0.00000	0.25000
Wu - 2003 - Employee stock option design and valuation	p74	90	0.049	0.000	0.000	0.0000	0.00000	0.00000	1685244	2	1-bit	0	0	0	26	26	0	26	0.00000	0.25000
