document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor
Kazin_1955_The Writer and the 	p11	136	0.121	0.022	0.000	0.0002	0.00000	0.00000	1518684	1	1-bit	206	49132	3	31	31	24	36	0.00000	0.25000
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited	p14	176	0.147	0.162	0.000	0.1480	0.00000	0.00000	1255632	1	picture	123478	144159	577	27	577	885	885	0.00000	0.25000
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited	p27	176	0.147	0.131	0.000	0.1735	0.00000	0.00000	1255632	1	picture	44041	138110	24	27	27	60	63	0.00000	0.25000
Kristol_1962_SOCIAL SCIENCES AND LAW_	p10	90	0.207	0.000	0.000	0.0000	0.00000	0.00000	1700996	2	1-bit	0	0	0	1154	1154	0	1154	0.00000	0.25000
Kristol_1962_SOCIAL SCIENCES AND LAW_	p20	90	0.128	0.000	0.000	0.0000	0.00000	0.00000	1613736	2	1-bit	0	0	0	1116	1116	0	1116	0.00000	0.25000
Lloyd-Jones_Smith_1938_Selection and Admissions	p8	90	0.086	0.002	0.000	0.0000	0.00000	0.00000	784300	2	1-bit	0	7957	0	22	22	11	22	0.00000	0.25000
Lloyd-Jones_Smith_1938_Selection and Admissions	p16	90	0.085	0.002	0.000	0.0000	0.00000	0.00000	467088	2	1-bit	0	5571	0	18	18	11	18	0.00000	0.25000
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press	p4	90	0.093	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	719	719	0	719	0.00000	0.25000
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press	p7	90	0.092	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	0	0	719	719	0	719	0.00000	0.25000
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co	p8	147	0.082	0.027	0.000	0.0000	0.00000	0.00000	1934426	1	1-bit	149	84269	8	27	27	26	27	0.00000	0.25000
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co	p16	147	0.077	0.025	0.000	0.0000	0.00000	0.00000	1934426	1	1-bit	181	80243	3	86	86	26	90	0.00000	0.25000
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press	p11	90	0.105	0.000	0.000	0.0000	0.00000	0.00000	550620	3	1-bit	0	1657	0	51	51	14	51	0.00000	0.25000
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press	p21	90	0.125	0.000	0.000	0.0000	0.00000	0.00000	542568	3	1-bit	0	0	0	20	20	0	20	0.00000	0.25000
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49)	p9	90	0.089	0.000	0.000	0.0000	0.00000	0.00000	720792	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49)	p17	90	0.090	0.000	0.000	0.0000	0.00000	0.00000	719514	2	1-bit	0	0	0	22	22	0	22	0.00000	0.25000
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1	p22	128	0.092	0.005	0.000	0.0000	0.00000	0.00000	1591352	2	1-bit	0	24064	0	21	21	22	22	0.00000	0.25000
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1	p44	128	0.060	0.004	0.000	0.0000	0.00000	0.00000	1597551	2	1-bit	0	16311	0	40	40	39	40	0.00000	0.25000
O'Brien_1955_The Area of Admissions in Higher Education_	p13	145	0.142	0.045	0.000	0.0414	0.00000	0.00000	725351	2	1-bit	162	49105	0	23	23	24	24	0.00000	0.25000
O'Brien_1955_The Area of Admissions in Higher Education_	p25	144	0.140	0.043	0.000	0.0382	0.00000	0.00000	752376	2	1-bit	156	48231	2	22	22	23	23	0.00000	0.25000
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press	p6	128	0.037	0.013	0.000	0.0000	0.00000	0.00000	1290414	3	1-bit	0	10899	0	891	891	163	893	0.00000	0.25000
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press	p11	128	0.058	0.022	0.000	0.0000	0.00000	0.00000	1290414	3	1-bit	3	17910	0	877	877	58	878	0.00000	0.25000
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_	p14	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	912989	2	1-bit	0	0	0	23	23	0	23	0.00000	0.25000
