document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route
_1967_Fairchild Camera and Instrument Corporation Annual Report -- 1967_ProQuest Annual Reports	p15	90	0.026	0.000	0.000	0.0000	0.00000	0.00000	1533224	2	1-bit
_1967_Fairchild Camera and Instrument Corporation Annual Report -- 1967_ProQuest Annual Reports	p8	128	0.166	0.002	0.000	0.0000	0.00000	0.00000	1371178	2	1-bit
_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York	p1	163	0.116	0.085	0.064	0.0384	0.00112	0.00050	1397655	1	picture
_1971_Fairchild Camera and Instrument Corporation Annual Report -- 1971_ProQuest Annual Reports	p13	128	0.031	0.001	0.000	0.0000	0.00000	0.00000	1511601	2	1-bit
_1971_Fairchild Camera and Instrument Corporation Annual Report -- 1971_ProQuest Annual Reports	p7	127	0.332	0.002	0.000	0.0000	0.00000	0.00000	1453232	2	1-bit
_1973_Committee Against Racism_	p2	149	0.167	0.066	0.001	0.0000	0.00000	0.00000	1615510	1	picture
_1973_Committee Against Racism_	p3	151	0.158	0.064	0.002	0.0000	0.00000	0.00000	1612948	1	picture
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y.	p2	139	0.213	0.055	0.000	0.0002	0.00000	0.00000	1079568	1	picture
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y.	p3	147	0.168	0.060	0.000	0.0004	0.00000	0.00000	1155028	1	picture
_1976_Fairchild Camera and Instrument Corporation Annual Report -- 1976_ProQuest Annual Reports	p14	134	0.051	0.003	0.000	0.0000	0.00000	0.00000	1311632	2	1-bit
_1976_Fairchild Camera and Instrument Corporation Annual Report -- 1976_ProQuest Annual Reports	p27	134	0.030	0.002	0.000	0.0000	0.00000	0.00000	1310470	2	1-bit
_1977_What We're About_Washington Monthly	p2	128	0.090	0.002	0.000	0.0000	0.00000	0.00000	1028643	2	1-bit
_1977_What We're About_Washington Monthly	p3	128	0.175	0.007	0.000	0.0000	0.00000	0.00000	1028643	2	1-bit
_1979_Ideology of American Neo-Conservatism_	p11	128	0.134	0.006	0.000	0.0000	0.00000	0.00000	989120	3	1-bit
_1979_Ideology of American Neo-Conservatism_	p6	128	0.134	0.003	0.000	0.0000	0.00000	0.00000	921360	3	1-bit
_1985_Issue 2_New Perspectives	p10	128	0.097	0.007	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit
_1985_Issue 2_New Perspectives	p20	128	0.093	0.007	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit
_2010_New Materialisms_Duke University Press	p15	139	0.085	0.012	0.000	0.0000	0.00000	0.00000	763364	2	1-bit
_2010_New Materialisms_Duke University Press	p8	141	0.093	0.023	0.000	0.0000	0.00000	0.00000	1564650	2	1-bit
___	p1	126	0.180	0.068	0.000	0.1106	0.00049	0.00022	1377544	6	picture
___ 2	p1	135	0.187	0.018	0.000	0.0000	0.00000	0.00000	1417572	2	1-bit
___ 3	p1	100	0.076	0.167	0.000	0.1045	0.00254	0.00386	1217664	6	picture
___ 4	p1	144	0.152	0.046	0.000	0.0183	0.00000	0.00000	1953539	2	picture
___ 5	p1	128	0.173	0.007	0.000	0.0000	0.00000	0.00000	1729720	2	1-bit
full chapter	p11	153	0.051	0.019	0.000	0.0007	0.00000	0.00000	647520	1	1-bit
full chapter	p22	152	0.047	0.019	0.000	0.0022	0.00000	0.00000	836160	1	1-bit
oster - Engagement of Anne Foster To Tucson Man Announced	p1	113	0.195	0.110	0.000	0.1037	0.00239	0.00302	1284644	6	picture
ppf_description	p2	90	0.054	0.000	0.000	0.0000	0.00000	0.00000	3070281	1	1-bit
ppf_description	p4	90	0.034	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
w5093	p22	135	0.026	0.003	0.000	0.0000	0.00000	0.00000	1606080	2	1-bit
w5093	p43	128	0.006	0.000	0.000	0.0000	0.00000	0.00000	1606080	2	1-bit
w7787	p11	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit
w7787	p21	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit
w7787 2	p11	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit
w7787 2	p21	90	0.046	0.000	0.000	0.0000	0.00000	0.00000	2879560	1	1-bit
