document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route
Cooley - 2008 - Moving up, moving out Race and social mobility in Chicago, 1914–1972	p251	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1619845	2	1-bit
Corson_Current practices in student guidance and personnel administration in liberal	p157	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit
Corson_Current practices in student guidance and personnel administration in liberal	p79	90	0.056	0.000	0.000	0.0000	0.00000	0.00000	1272736	3	1-bit
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia	p146	136	0.086	0.042	0.009	0.0045	0.00000	0.00000	1148022	2	1-bit
Countryman - 2006 - Up south  civil rights and Black power in Philadelphia	p291	127	0.092	0.012	0.013	0.0057	0.00000	0.00000	1168452	2	1-bit
Crystal_2000_Option grants leave CEOs with sinking feeling	p1	90	0.122	0.000	0.000	0.0000	0.00000	0.00000	2775380	2	1-bit
DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa	p106	90	0.038	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa	p211	90	0.033	0.000	0.000	0.0000	0.00000	0.00000	1629800	2	1-bit
DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas	p187	90	0.044	0.000	0.000	0.0000	0.00000	0.00000	1695375	2	1-bit
DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas	p94	90	0.020	0.000	0.000	0.0000	0.00000	0.00000	1734698	2	1-bit
Davis_2005_Optimism of the Will_Nation	p2	138	0.135	0.034	0.001	0.0034	0.00000	0.00000	1523676	2	picture
Davis_2005_Optimism of the Will_Nation	p4	138	0.115	0.030	0.004	0.0000	0.00000	0.00000	1523676	2	1-bit
Doermann_1967_The market for college education in the United States	p10	177	0.079	0.121	0.000	0.2846	0.03897	0.01758	1626561	2	picture
Doermann_1967_The market for college education in the United States	p19	171	0.121	0.100	0.000	0.2577	0.00097	0.00055	1626077	2	1-bit
Donahue - 2001 - Time to Get Serious About Talent Management	p2	135	0.112	0.011	0.000	0.0000	0.00000	0.00000	1439847	2	1-bit
Donahue - 2001 - Time to Get Serious About Talent Management	p3	136	0.011	0.002	0.000	0.0000	0.00000	0.00000	1665475	2	1-bit
Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II	p161	90	0.038	0.000	0.000	0.0000	0.00000	0.00000	1670652	2	1-bit
Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II	p81	90	0.039	0.000	0.000	0.0000	0.00000	0.00000	1670652	2	1-bit
ERICKSON - 1952 - The Taxation of Investment Companies in the United States	p227	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	1660020	2	1-bit
ERICKSON - 1952 - The Taxation of Investment Companies in the United States	p453	90	0.066	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Ehrenreich_2000_Maid to order_Harper's Magazine	p5	189	0.151	0.097	0.037	0.0331	0.00000	0.00000	2697800	1	picture
Ehrenreich_2000_Maid to order_Harper's Magazine	p9	192	0.145	0.106	0.023	0.0221	0.00000	0.00000	2722188	1	picture
Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po	p162	90	0.034	0.000	0.000	0.0000	0.00000	0.00000	1675116	2	1-bit
Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po	p323	90	0.036	0.000	0.000	0.0000	0.00000	0.00000	1677734	2	1-bit
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press	p11	90	0.112	0.000	0.000	0.0000	0.00000	0.00000	863156	2	1-bit
Eurich_Academy for Educational Development._1968_Campus 1980; the shape of the future in American higher education_Delacorte Press	p21	128	0.113	0.002	0.000	0.0000	0.00000	0.00000	859712	2	1-bit
