doc	pages	digitalN	page	rawAnnots	surfacedN	nilN	subtypes	clause	pageMark	docMark	outlineN	allPass	splice
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	21	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	23	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	24	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	25	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	26	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	27	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	28	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	29	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	30	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	32	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	33	8	8	0	Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	34	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	35	8	8	0	Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	36	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	37	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	38	8	8	0	Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	39	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	40	2	2	0	Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	41	2	2	0	Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	42	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	43	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	44	2	2	0	Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	45	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	46	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	47	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	48	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	49	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	50	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	51	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	52	7	7	0	Link,Link,Link,Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	53	4	4	0	Link,Link,Link,Link	none	no	no	0	no	yes
Batzell - Free Labor, Capitalism and the Antislavery Origins of Chinese Labor Exclusion in 1870s California.pdf	54	51	54	5	5	0	Link,Link,Link,Link,Link	none	no	no	0	no	yes
Burke - The Expansion of American Higher Education.pdf	24	1	1	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Collins_1971_Functional and Conflict Theories of Educational Stratification_American Sociological Review.pdf	19	1	1	0	0	0	-	none	no	no	2	no	no
Donahue - 2001 - Time to Get Serious About Talent Management.pdf	3	1	3	0	0	0	-	none	no	no	0	no	yes
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors.pdf	57	1	1	0	0	0	-	none	no	no	2	no	no
Lemieux et al. - Performance Pay and Wage Inequality.pdf	50	1	1	0	0	0	-	none	no	no	2	no	no
Price_1958_The Small Business Tax Revision of 1958.pdf	37	1	1	3	3	0	Link,Link,Link	none	no	no	0	no	yes
Robin_Stephens_1996_Against the Grain_Social Text.pdf	32	1	1	4	4	0	Link,Link,Link,Link	none	no	no	2	no	no
Sanders_2001_BEHAVIORAL RESPONSES OF CEOs TO STOCK OWNERSHIP AND STOCK OPTION PAY.pdf	17	1	17	0	0	0	-	none	no	no	0	no	yes
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	1	1	1	0	Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	2	46	46	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
