verdict	pages	sampled	imagePages	digitalText	charsPerPage	maxImagePx	medianDPI	saturation	illumination	path
scanned	1	1	1	no	10006	959	150	0.000	0.100	testdocs/newspaperArticle/Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf
scanned	1	1	1	no	1407	1064	300	0.000	0.093	testdocs/newspaperArticle/Glazer_2003_Neoconservatives, Then and Now_New York Times.pdf
scanned	1	1	1	no	8783	1216	140	0.000	0.080	testdocs/newspaperArticle/JOURNAL_1969_Giving the Boss a Raise_Wall Street Journal (1923 - Current file); New York, N.Y..pdf
scanned	1	1	1	no	7653	1997	330	0.000	0.082	testdocs/newspaperArticle/Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf
scanned	2	2	1	no	188	1633	298	0.000	0.053	testdocs/newspaperArticle/Zipkin_2000_Management.pdf
scanned	1	1	1	no	27697	3459	200	0.000	0.040	testdocs/newspaperArticle/_1926_Clapp defends Cox_Billings Gazette.pdf
scanned	1	1	1	no	27906	2675	200	0.000	0.045	testdocs/newspaperArticle/_1926_Cox resigns, following most severe public criticism that ever has been_Anaconda Standard.pdf
scanned	1	1	1	no	14621	3364	200	0.000	0.057	testdocs/newspaperArticle/_1926_English dept summer school_Havre Daily News Promoter.pdf
scanned	1	1	1	no	27617	3031	200	0.000	0.039	testdocs/newspaperArticle/_1928_Creative writing a featured course at Summer School_Helena Daily Independent.pdf
scanned	1	1	1	no	31972	3039	200	0.000	0.051	testdocs/newspaperArticle/_1931_Again, press most excited about Frontier's history section_Helena Daily Independent.pdf
scanned	1	1	1	no	17854	3220	200	0.000	0.047	testdocs/newspaperArticle/_1939_Kalispell resident offering private creative writing courses, out of her home_Kalispell Daily Inter Lake.pdf
scanned	1	1	1	no	19897	2889	200	0.000	0.059	testdocs/newspaperArticle/_1941_Fiedler's hiring at UM announced_Helena Independent.pdf
scanned	1	1	1	no	11466	3453	200	0.000	0.042	testdocs/newspaperArticle/_1950_Comic_Independent Record.pdf
