# background /1 (MRC_BG), foreground /4 (shipped default) — before R50's all-text shrink, which is a floor and can only raise them
file	page	px	dpi	route	boxes	inkOut	nowKB	maskKB	bgKB	fgKB	mrcKB	bgF	fgF	ratio	kept	mrcPSNR	nowPSNR	note
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf	2	1296x1086	171.5	grey	197	0.5163	356.0	25.7	233.2	19.8	278.7	1.0	4.0	1.28x	mrc	23.09	39.25	-
_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf	3	1328x1134	176.7	grey	200	0.3659	408.6	27.3	264.0	21.1	312.4	1.0	4.0	1.31x	mrc	23.00	38.93	-
___ 3.pdf	1	6215x9217	400.0	grey	752	0.7289	8781.0	380.6	8698.0	294.1	9372.8	1.0	4.0	0.94x	jpeg	35.24	42.42	-
___ 4.pdf	1	2383x4281	310.0	grey	458	0.1180	1547.7	96.2	1292.6	126.7	1515.5	1.0	4.0	1.02x	mrc	23.39	42.14	-
___.pdf	1	6533x9925	400.0	grey	727	0.4680	14076.5	341.8	13260.2	735.0	14337.0	1.0	4.0	0.98x	jpeg	27.55	36.05	-
Doermann_1967_The market for college education in the United States.pdf	10	2652x3202	300.2	grey	100	0.0056	1084.3	48.0	1049.1	59.2	1156.3	1.0	4.0	0.94x	jpeg	32.42	42.12	-
Doermann_1967_The market for college education in the United States.pdf	21	2658x3200	300.4	grey	50	0.0165	1312.0	80.8	1214.4	75.1	1370.3	1.0	4.0	0.96x	jpeg	30.01	40.39	-
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	151	736x952	86.6	grey	26	0.7086	111.9	7.0	68.5	6.1	81.6	1.0	4.0	1.37x	mrc	26.79	41.00	-

=== 74 picture pages: 74 layered, 0 declined ===
today  88972 KB   layered 87104 KB   1.02x smaller over the pages that layered
as published 83435 KB   1.07x smaller than today   (31 pages where three layers cost more than one image)
