type	era	file	zotero_key	result	pages	line_starts	line_ends	offset	overlap	words	seconds
magazineArticle	new	magazineArticle/Davis_2005_Optimism of the Will_Nation.pdf	CZXWUIQR	OK	3p	start=100%	end=100%	off=+0.00	overlap=1/59	words=100%	4s
magazineArticle	new	magazineArticle/Ehrenreich_2000_Maid to order_Harper's Magazine.pdf	ESZAV774	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/133	words=99%	4s
magazineArticle	new	magazineArticle/Glazer_2002_Higher Ed_New Republic.pdf	NA3Z5R9S	OK	2p	start=100%	end=98%	off=-0.10	overlap=0/23	words=100%	2s
magazineArticle	old	magazineArticle/HarpersMagazine-1938-05-0019577.pdf	6R4HEGKP	OK	3p	start=100%	end=98%	off=-0.10	overlap=1/93	words=100%	4s
magazineArticle	old	magazineArticle/Luethy_1955_Social mobility again--And elites_Commentary (pre-1986); New York.pdf	RXY5HXAE	OK	3p	start=100%	end=99%	off=-0.10	overlap=0/43	words=99%	4s
magazineArticle	old	magazineArticle/Part Two.pdf	JB54ZK6W	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/90	words=100%	3s
magazineArticle	unk	magazineArticle/Black_0000_The Scandal of Educational Testing.pdf	A4N4ZLW7	OK	3p	start=99%	end=99%	off=-0.10	overlap=0/58	words=99%	6s
newspaperArticle	mid	newspaperArticle/1976_Results of Trading in Stock Options.pdf	XHC8DFQH	OK	1p	start=100%	end=93%	off=-0.10	overlap=0/7	words=97%	2s
newspaperArticle	mid	newspaperArticle/_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf	ZFGYH3QL	OK	3p	start=100%	end=99%	off=-0.10	overlap=0/16	words=100%	3s
newspaperArticle	mid	newspaperArticle/___.pdf	FWQD3XKR	OK	1p	start=96%	end=95%	off=-0.10	overlap=5/26	words=99%	6s
newspaperArticle	new	newspaperArticle/Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf	93N2MWUE	OK	1p	start=100%	end=100%	off=-0.10	overlap=0/15	words=100%	3s
newspaperArticle	new	newspaperArticle/Glazer_2003_Neoconservatives, Then and Now_New York Times.pdf	S424476F	OK	1p	start=100%	end=100%	off=-0.10	overlap=0/36	words=100%	1s
newspaperArticle	new	newspaperArticle/Zipkin_2000_Management.pdf	S3RVZ7KK	OK	2p	start=100%	end=100%	off=-0.10	overlap=0/23	words=100%	4s
newspaperArticle	old	newspaperArticle/_1926_Clapp defends Cox_Billings Gazette.pdf	RVTI3E78	OK	1p	start=91%	end=91%	off=-0.10	overlap=0/18	words=98%	2s
newspaperArticle	old	newspaperArticle/_1926_Cox resigns, following most severe public criticism that ever has been_Anaconda Standard.pdf	8F3T2R46	OK	1p	start=95%	end=93%	off=-0.10	overlap=2/15	words=98%	3s
newspaperArticle	old	newspaperArticle/_1941_Fiedler's hiring at UM announced_Helena Independent.pdf	DGDZXH38	OK	1p	start=95%	end=93%	off=-0.10	overlap=3/38	words=99%	3s
report	mid	report/Temin_1997_The American Business Elite in Historical Perspective.pdf	TPTTIAVD	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/37	words=100%	2s
report	mid	report/_1971_Fairchild Camera and Instrument Corporation Annual Report -- 1971_ProQuest Annual Reports.pdf	UERNX757	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/45	words=100%	3s
report	mid	report/_1976_Fairchild Camera and Instrument Corporation Annual Report -- 1976_ProQuest Annual Reports.pdf	6PDV2CX5	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/86	words=100%	2s
report	new	report/Autor et al_2020_Extending the Race between Education and Technology.pdf	EQBUKYYW	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/38	words=100%	3s
report	new	report/Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ.pdf	EKBMNICV	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/33	words=100%	2s
report	new	report/w7787.pdf	CR72NDRB	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/60	words=100%	2s
report	old	report/1958_General Foods Corporation Annual Report -- 1958.pdf	953TDXLG	OK	3p	start=100%	end=100%	off=+0.00	overlap=1/38	words=99%	2s
report	old	report/1958_The Goodyear Tire & Rubber Company Annual Report -- 1958.pdf	XE3ZKQN3	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/56	words=100%	2s
report	old	report/_1950_Fairchild Camera and Instrument Corporation Annual Report -- 1950_ProQuest Annual Reports.pdf	SCEQIAUR	OK	3p	start=100%	end=100%	off=-0.10	overlap=0/74	words=100%	2s
thesis	mid	thesis/MENDELSON_1974_The Ideological Debate in the Public School Guidance Movement, 1900-1970_New York University.pdf	ZKFCPWJ7	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/56	words=100%	2s
thesis	mid	thesis/Silberman_1961_A study of industry policy considerations in the transition from airplane to_University of Southern California.pdf	SDV9C42W	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/60	words=100%	2s
thesis	mid	thesis/WITTE_1978_Democracy, Authority and Alienation in Work_Yale University.pdf	K835DIVK	OK	3p	start=100%	end=94%	off=+0.00	overlap=1/65	words=100%	2s
thesis	new	thesis/Drumright - 2005 - A river for war, a watershed to change The Tennessee Valley Authority during World War II.pdf	SRZU4U95	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/59	words=100%	3s
thesis	new	thesis/Engstrom - 2005 - The lost origins of American fair employment law State fair employment practices bureaus and the po.pdf	78ZKX83G	OK	3p	start=100%	end=98%	off=+0.00	overlap=0/76	words=100%	3s
thesis	new	thesis/Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech.pdf	2CAFVZP2	OK	3p	start=100%	end=100%	off=+0.00	overlap=1/22	words=100%	1s
thesis	old	thesis/CARTWRIGHT_Legislation Against Discrimination in Employment in New York State.pdf	TRNWY26M	OK	3p	start=100%	end=100%	off=+0.00	overlap=1/61	words=100%	3s
thesis	old	thesis/Corson_Current practices in student guidance and personnel administration in liberal.pdf	EUZMR3QC	OK	3p	start=100%	end=96%	off=+0.00	overlap=0/59	words=99%	3s
thesis	old	thesis/DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa.pdf	4JTCPJYP	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/32	words=100%	2s
thesis	unk	thesis/Ho_Useful fiction.pdf	3ZFA7AP9	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/55	words=100%	2s
thesis	unk	thesis/Jensen_The rise of an African-American Left.pdf	WFK86I3H	OK	3p	start=100%	end=93%	off=+0.00	overlap=4/67	words=99%	3s
thesis	unk	thesis/Pianko_Diaspora Jewish nationalism and identity in America, 1914–1967.pdf	WCETGQKM	OK	3p	start=100%	end=100%	off=+0.00	overlap=0/67	words=100%	3s
